timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
226184869,226183658,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012803925,12.613977,0.0,0.0,nan,0.106527224,0.10652059,0.0905477,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029018812
226687772,226685913,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012757026,12.613977,0.0,0.0,nan,0.10553197,0.10553336,0.090520315,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.027709868
227185430,227184211,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012756574,12.613977,0.0,0.0,nan,0.10941865,0.10942139,0.090495996,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028898982
227683923,227682508,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012494248,12.613977,0.0,0.0,nan,0.10770992,0.10782691,0.0904743,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.0226143
228185961,228184758,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012296744,12.613977,0.0,0.0,nan,0.10770992,0.10782691,0.09045475,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028479025
228684373,228683052,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012085342,12.613977,0.0,0.0,nan,0.10770992,0.10782691,0.09043725,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.022164151
229186523,229185300,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012087931,12.613977,0.0,0.0,nan,0.10770992,0.10782691,0.090421595,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029983204
229684868,229683592,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012101054,12.613977,0.0,0.0,nan,0.1394969,0.13960513,0.09040755,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.027135517
230187166,230185839,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121885855,12.613977,0.0,0.0,nan,0.12695491,0.12694798,0.09039479,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.023109186
230685415,230684133,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012380122,12.613977,0.0,0.0,nan,0.11836766,0.118364975,0.09038312,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028434537
231183625,231182428,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01252349,12.613977,0.0,0.0,nan,0.11836766,0.118364975,0.09037253,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.027471565
231686041,231684677,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012773204,12.613977,0.0,0.0,nan,0.11836766,0.118364975,0.09036285,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.02909331
232184310,232182971,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012930661,12.613977,0.0,0.0,nan,0.11836766,0.118364975,0.09035402,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029262802
232686478,232685218,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013027829,12.613977,0.0,0.0,nan,0.11836766,0.118364975,0.09034595,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029696599
