timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
221127543,221127510,0.14183168,1.3402736e-06,1.0867083,2.7993054,0.046874125,2.7821634,1
221225614,221225587,0.14188738,1.3210328e-06,1.0638732,2.6887894,0.046771407,2.6730273,1
221324548,221324521,0.14212418,1.3027513e-06,2.4055471,2.7560344,0.2332924,2.7633963,1
221423194,221423147,0.14226171,1.2862196e-06,0.54498905,2.9227743,0.011291139,2.9065003,1
221526704,221526677,0.14211252,1.2729581e-06,2.1302183,2.9547746,0.1706402,2.9597554,1
221625051,221625024,0.14217697,1.2592526e-06,0.33877045,2.878449,0.004430064,2.8614872,1
221723800,221723757,0.14212428,1.2462898e-06,1.3990543,2.8678088,0.075836174,2.858865,1
221826714,221826682,0.14198817,1.2358479e-06,2.400994,2.8263266,0.22662996,2.8380067,1
221926112,221926085,0.14203373,1.2250026e-06,0.2608226,2.8183982,0.0026819184,2.795751,1
222024501,222024475,0.14204003,1.2135238e-06,1.6769334,2.7199664,0.11487501,2.714965,1
222127387,222127356,0.14196628,1.2027831e-06,0.5384046,2.6820729,0.012008932,2.6621292,1
222226096,222226069,0.14202313,1.1911272e-06,-2.4856517,2.8003743,0.24514438,2.814668,1
222325209,222325179,0.14211231,1.180202e-06,-2.1593895,2.755791,0.18800664,2.7574694,1
222423783,222423742,0.14206304,1.1699757e-06,-0.61975545,2.8570998,0.0149373235,2.8418157,1
222526638,222526610,0.14208347,1.1612003e-06,0.8375614,2.7782998,0.028055092,2.7606115,1
222625546,222625519,0.14206035,1.1506254e-06,2.8254893,2.7028658,0.3281862,2.7289755,1
222724521,222724482,0.14197591,1.1404392e-06,-1.6754634,2.7379215,0.113921694,2.733089,1
222827151,222827124,0.1421255,1.1317243e-06,-1.9706455,2.7489614,0.15696609,2.7494266,1
222926041,222926014,0.14199969,1.1228175e-06,1.440806,2.683632,0.08594994,2.6745973,1
223024949,223024922,0.1420586,1.1138825e-06,-0.91920424,2.620851,0.03582112,2.6085522,1
223123979,223123946,0.1420502,1.1052034e-06,2.5057619,2.6163528,0.2666495,2.6261334,1
223226562,223226536,0.14194345,1.0984653e-06,1.8536571,2.666758,0.14316362,2.6651528,1
223325487,223325461,0.14199254,1.0903957e-06,-0.22020149,2.5667932,0.0020989743,2.5469332,1
223424309,223424283,0.14195237,1.0814592e-06,-0.5133624,2.5556266,0.011457984,2.5422182,1
223523213,223523186,0.14208162,1.0729697e-06,-1.0286858,2.6287637,0.044727173,2.6172414,1
223626024,223625997,0.1421716,1.065737e-06,-0.16895954,2.614245,0.0012133237,2.5936604,1
223724902,223724876,0.14215359,1.0573588e-06,-2.4039903,2.5481465,0.2519988,2.5550075,1
223824694,223824669,0.14217834,1.0496548e-06,1.5223426,2.618165,0.09835247,2.6124613,1
223926582,223926543,0.14212243,1.0437802e-06,3.9185598,2.6389976,0.64650434,2.7098997,1
224025483,224025455,0.1422617,1.0387695e-06,-1.140868,2.7596416,0.052405342,2.746311,1
224124457,224124431,0.14220737,1.0356833e-06,0.58072305,2.6469321,0.014156399,2.6340094,1
224223268,224223241,0.14213851,1.0332369e-06,-1.0335267,2.6481755,0.044818167,2.638488,1
224326608,224326582,0.14227787,1.0312483e-06,-1.7762556,2.5977793,0.13494791,2.5955536,1
224424918,224424892,0.14212236,1.0280006e-06,-3.282439,2.841762,0.4212725,2.8688827,1
224523917,224523885,0.1420825,1.0253945e-06,0.12829646,2.8414602,0.0006436433,2.825669,1
224626631,224626604,0.14205433,1.0228008e-06,-0.7471068,2.7263498,0.022747898,2.709179,1
