timestamp,timestamp_sample,vel_body[0],vel_body[1],vel_ne[0],vel_ne[1],flow_uncompensated_integral[0],flow_uncompensated_integral[1],flow_compensated_integral[0],flow_compensated_integral[1],gyro_rate_integral[0],gyro_rate_integral[1],gyro_rate_integral[2]
9550612,9549870,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.1962074e-05,-1.5974825e-05,-1.0237502e-05
9566999,9565210,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.730041e-06,2.153759e-06,-0.00014893108
9582239,9581553,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.730041e-06,2.153759e-06,-0.00014893108
9602085,9598084,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2.2943192e-05,-5.949851e-06,5.0202707e-05
9617800,9615176,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2.2943192e-05,-5.949851e-06,5.0202707e-05
9633961,9629972,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.3103064e-06,1.3637809e-05,-1.1947415e-06
9649437,9645917,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.3103064e-06,1.3637809e-05,-1.1947415e-06
9673505,9670021,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,1.2692359e-05,0.0020004897,-1.2692533e-05,-4.8958606e-07,4.0914692e-05
9688973,9685906,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,1.2692359e-05,0.0020004897,-1.2692533e-05,-4.8958606e-07,4.0914692e-05
9705204,9701822,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-2.6216521e-06,7.6803127e-07,5.825451e-05
9720603,9717694,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-2.6216521e-06,7.6803127e-07,5.825451e-05
9736774,9735344,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.4191022e-05,9.79503e-06,-9.269126e-05
9752389,9749356,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.4191022e-05,9.79503e-06,-9.269126e-05
9768206,9765253,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.4191022e-05,9.79503e-06,-9.269126e-05
9791931,9790169,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0443325e-05,-8.158784e-06,2.3314888e-05
9807707,9806069,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,-0.0019808598,1.1860766e-05,-1.9140263e-05,-1.18609405e-05,4.1197633e-05
9824089,9822123,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.5391584e-05,1.5822835e-06,-9.471401e-05
9839275,9838014,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.5391584e-05,1.5822835e-06,-9.471401e-05
9859069,9856146,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.5391584e-05,1.5822835e-06,-9.471401e-05
9870890,9870284,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.2850268e-06,6.7900705e-06,5.7635525e-06
9887005,9886192,0.0,0.0,0.0,0.0,-0.0,-0.0,5.6213075e-06,5.1586676e-06,-5.6213075e-06,-5.1586676e-06,5.308307e-05
9902660,9901949,0.0,0.0,0.0,0.0,-0.0,-0.0,5.6213075e-06,5.1586676e-06,-5.6213075e-06,-5.1586676e-06,5.308307e-05
9918395,9917402,0.0,0.0,0.0,0.0,-0.0,-0.0,5.6213075e-06,5.1586676e-06,-5.6213075e-06,-5.1586676e-06,5.308307e-05
9946343,9942513,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.002000165,-1.0778124e-06,-1.6480429e-07,1.0779872e-06,-5.0401286e-05
9957931,9957302,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.002000165,-1.0778124e-06,-1.6480429e-07,1.0779872e-06,-5.0401286e-05
9977734,9975651,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.002000165,-1.0778124e-06,-1.6480429e-07,1.0779872e-06,-5.0401286e-05
10001628,9998061,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-7.5071084e-06,4.3442406e-06,5.3796015e-05
10017235,10015657,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,-0.0020032949,-1.6496655e-05,3.2948678e-06,1.649648e-05,-7.581533e-05
10033403,10030519,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,4.5106864e-07,3.6622657e-06,-7.292195e-05
10057250,10055730,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0020020667,6.6634934e-06,-2.0667007e-06,-6.663319e-06,-5.3361514e-06
10072942,10070560,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0020020667,6.6634934e-06,-2.0667007e-06,-6.663319e-06,-5.3361514e-06
10096347,10095839,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0020020667,6.6634934e-06,-2.0667007e-06,-6.663319e-06,-5.3361514e-06
10112179,10110612,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,0.0,0.0,5.3501863e-06,-3.4507796e-06,-1.8917573e-05
10128092,10126449,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,0.0,0.0,5.3501863e-06,-3.4507796e-06,-1.8917573e-05
10144241,10142852,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-6.987082e-06,-6.756539e-06,-4.6953537e-05
10159641,10157731,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-6.987082e-06,-6.756539e-06,-4.6953537e-05
10179467,10175956,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,0.0,0.0,2.6847374e-06,-2.9894557e-06,4.349555e-06
