timestamp,device_id,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,warning
9991261,0,20.48375,20.484718,0.54382324,0.54117703,0.0,1.4361521,0.9252725,1.011881,nan,nan,4.096944,4.096944,4.096944,4.096944,4.096944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
10191505,0,20.48375,20.48455,0.54382324,0.5423671,0.0,1.4664402,0.92526245,1.011887,nan,nan,4.09691,4.09691,4.09691,4.09691,4.09691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
10391274,0,20.484999,20.484524,0.54382324,0.54281205,0.0,1.4966528,0.9252523,1.0118873,nan,nan,4.0969048,4.0969048,4.0969048,4.0969048,4.0969048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
10591532,0,20.4825,20.484068,0.5795288,0.5574643,0.0,1.5295366,0.92524135,1.0118809,nan,nan,4.0968137,4.0968137,4.0968137,4.0968137,4.0968137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
10791261,0,20.48375,20.484013,0.5465698,0.55527985,0.0,1.5601293,0.9252311,1.0118879,nan,nan,4.0968027,4.0968027,4.0968027,4.0968027,4.0968027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
10991392,0,20.48375,20.483965,0.5383301,0.55238956,0.0,1.5905131,0.92522097,1.0118959,nan,nan,4.096793,4.096793,4.096793,4.096793,4.096793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
11191265,0,20.4825,20.483812,0.5685425,0.55274755,0.0,1.6211644,0.9252108,1.0119027,nan,nan,4.0967627,4.0967627,4.0967627,4.0967627,4.0967627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
11391268,0,20.48375,20.4838,0.54382324,0.5511651,0.0,1.6516057,0.92520064,1.0119065,nan,nan,4.0967603,4.0967603,4.0967603,4.0967603,4.0967603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
11591261,0,20.48375,20.483791,0.52734375,0.5450308,0.0,1.6811315,0.92519075,1.011919,nan,nan,4.0967584,4.0967584,4.0967584,4.0967584,4.0967584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
11791299,0,20.48375,20.483784,0.5465698,0.54435664,0.0,1.7112675,0.92518055,1.0119207,nan,nan,4.096757,4.096757,4.096757,4.096757,4.096757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
11991535,0,20.48375,20.483776,0.5465698,0.5450329,0.0,1.7416322,0.9251703,1.0119199,nan,nan,4.096755,4.096755,4.096755,4.096755,4.096755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
12191253,0,20.48375,20.48377,0.5328369,0.54168785,0.0,1.7713104,0.9251604,1.0119268,nan,nan,4.096754,4.096754,4.096754,4.096754,4.096754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
12391427,0,20.4825,20.483652,0.5822754,0.5491305,0.0,1.80269,0.9251499,1.011918,nan,nan,4.09673,4.09673,4.09673,4.09673,4.09673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
12591248,0,20.48375,20.483667,0.52459717,0.5431601,0.0,1.8321185,0.9251401,1.0119288,nan,nan,4.0967336,4.0967336,4.0967336,4.0967336,4.0967336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
12791277,0,20.4825,20.483568,0.5548096,0.5463382,0.0,1.8628651,0.92512983,1.0119275,nan,nan,4.0967135,4.0967135,4.0967135,4.0967135,4.0967135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
12991264,0,20.4825,20.483381,0.56030273,0.55213106,0.0,1.8942981,0.92511934,1.0119253,nan,nan,4.0966763,4.0966763,4.0966763,4.0966763,4.0966763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
13191257,0,20.48375,20.483444,0.49987793,0.5437943,0.0,1.9235973,0.92510957,1.0119387,nan,nan,4.0966887,4.0966887,4.0966887,4.0966887,4.0966887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
13391512,0,20.48375,20.483496,0.5081177,0.53403753,0.0,1.952055,0.9251,1.0119553,nan,nan,4.096699,4.096699,4.096699,4.096699,4.096699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
13591267,0,20.48375,20.48354,0.5026245,0.52558357,0.0,1.9802092,0.9250907,1.0119699,nan,nan,4.096708,4.096708,4.096708,4.096708,4.096708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
13791455,0,20.48375,20.483576,0.519104,0.52322227,0.0,2.0089972,0.9250811,1.0119728,nan,nan,4.096715,4.096715,4.096715,4.096715,4.096715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
13991261,0,20.48375,20.483398,0.54382324,0.5379094,0.0,2.0408564,0.9250704,1.0119525,nan,nan,4.0966797,4.0966797,4.0966797,4.0966797,4.0966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
14191301,0,20.48375,20.483355,0.5355835,0.5371987,0.0,2.070611,0.9250605,1.011956,nan,nan,4.096671,4.096671,4.096671,4.096671,4.096671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
14391303,0,20.48375,20.483318,0.5355835,0.538994,0.0,2.1008234,0.9250503,1.0119544,nan,nan,4.0966635,4.0966635,4.0966635,4.0966635,4.0966635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
