timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
273567361,-0.00035186985,0.007237437,0.009010355,0.0
273591098,-0.0001955111,0.0073116333,0.009018687,0.0
273610858,-0.00012254255,0.0073498664,0.009051343,0.0
273630693,-3.8392496e-05,0.00747528,0.009054142,0.0
273650401,-8.715812e-06,0.0075786277,0.009074518,0.0
273670208,-3.955288e-05,0.007694848,0.009114415,0.0
273689962,-8.113865e-05,0.007873659,0.009111218,0.0
273709733,-0.0001739204,0.008028175,0.0091498485,0.0
273729490,-0.00029585793,0.008199474,0.00917123,0.0
273749267,-0.00042619937,0.008369959,0.009161252,0.0
273772988,-0.000588646,0.008490675,0.0091943,0.0
273788811,-0.000735836,0.00854111,0.009189957,0.0
273808572,-0.0008599924,0.008631105,0.009188448,0.0
273832351,-0.0010595452,0.008582464,0.009236448,0.0
273848139,-0.0011848424,0.008587646,0.009234556,0.0
273867926,-0.0013650652,0.008596182,0.009234035,0.0
273891637,-0.001516064,0.0085217,0.009252186,0.0
273911398,-0.001650898,0.008498144,0.009229352,0.0
273927209,-0.0017376238,0.008450252,0.009247221,0.0
273950966,-0.0018351984,0.00838289,0.0092362575,0.0
273970703,-0.0019135443,0.008388438,0.00923436,0.0
273986519,-0.0019240247,0.008354319,0.009242549,0.0
274010258,-0.0019362031,0.0083384095,0.0092235245,0.0
274030050,-0.0018475407,0.008359034,0.009236203,0.0
274049799,-0.0017963197,0.008328372,0.009221664,0.0
274069560,-0.0017559926,0.008316675,0.009218181,0.0
274089330,-0.0016100977,0.008267494,0.009235615,0.0
274109104,-0.0015954531,0.00820232,0.009219083,0.0
274128905,-0.0015768682,0.008183595,0.009229971,0.0
274148650,-0.0014495607,0.008185787,0.00923164,0.0
274168420,-0.0013766155,0.00817079,0.009227376,0.0
274192175,-0.0010917428,0.008173144,0.00924687,0.0
274207973,-0.00092229986,0.008179612,0.009240088,0.0
274231801,-0.0007024488,0.008179074,0.00925544,0.0
274251468,-0.00047119675,0.008190462,0.009256125,0.0
