timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
123170146,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.014982243,0.00082342006,3.4094508e-06,0.25238833,-0.15332517,-9.867861,0.013669262,0.0021368298,0.005539145,0.00017234412,0.00014064132,0.0008977279,2.1946016e-06,7.8821114e-07,2.9897288e-07,47.79038,47.79038
124198508,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.016397338,0.00084238895,3.6351312e-06,0.25346383,-0.15407394,-9.869024,0.013613893,0.002187872,0.005521886,0.00021144038,0.00015808812,0.00096405204,2.1825047e-06,6.9162127e-07,2.6100955e-07,47.790813,47.790813
125123990,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018187521,0.0009037484,3.844111e-06,0.2540068,-0.15149026,-9.870177,0.013486467,0.0020645743,0.005654589,0.00019199627,0.00012648005,0.0009795497,2.0743082e-06,6.3324205e-07,2.940229e-07,47.805477,47.805477
126152211,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018008975,0.0009083883,3.7814764e-06,0.2532545,-0.1534596,-9.873031,0.01386782,0.0020859079,0.0055546374,0.00018010195,0.00013813352,0.0008142055,2.3107925e-06,6.0437276e-07,3.0303303e-07,47.82318,47.82318
127180438,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.01675204,0.00088037184,3.7744394e-06,0.24949983,-0.15402618,-9.872616,0.013647124,0.0022905273,0.0055559203,0.0001907027,0.0001455853,0.0008908388,2.3160685e-06,8.238086e-07,3.1124316e-07,47.811935,47.811935
128105874,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018164907,0.0009231081,3.857851e-06,0.25323814,-0.15218443,-9.869165,0.013608316,0.0020208848,0.0054166242,0.00016250853,0.00012035587,0.0010882809,2.520308e-06,6.230447e-07,4.2162245e-07,47.829426,47.829426
129134341,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.019881763,0.00095285085,3.9624824e-06,0.24955557,-0.15295789,-9.870241,0.013394158,0.0021873442,0.0055233147,0.00016319954,8.0866426e-05,0.0010963159,2.6582175e-06,5.837165e-07,1.9941507e-07,47.841995,47.841995
130162557,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018007396,0.00094274065,3.8205008e-06,0.25167635,-0.15382402,-9.870226,0.013729864,0.0021658284,0.005437297,0.0001959931,0.000121835394,0.0009030211,2.5717034e-06,6.3654846e-07,2.8649788e-07,47.85425,47.85425
131190824,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.015439599,0.0008358572,3.3475958e-06,0.25386456,-0.15456209,-9.8713,0.013817379,0.002099535,0.005451309,0.00020664699,0.00018065344,0.0009887674,2.2670895e-06,5.793129e-07,2.792798e-07,47.86572,47.86572
132116254,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.015294234,0.0008405119,3.4476636e-06,0.253165,-0.15021992,-9.869804,0.013638639,0.0020387128,0.0054734834,0.0002278176,0.00013502878,0.00096494507,2.5163856e-06,7.0896755e-07,4.2138302e-07,47.869778,47.869778
133144457,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.016952906,0.0008992697,3.7225352e-06,0.25176176,-0.1545787,-9.871623,0.0136931455,0.002256755,0.0053451327,0.00023602686,0.00014093121,0.00079488027,2.445714e-06,6.967029e-07,3.5686375e-07,47.88256,47.88256
134172732,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.016326116,0.00089140097,3.7893797e-06,0.25085405,-0.15416828,-9.872753,0.013794574,0.0021860087,0.0055596903,0.0001820395,0.000120796765,0.0009856954,3.4840548e-06,7.5612303e-07,2.8218042e-07,47.88778,47.88778
135201084,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.017891435,0.00092045066,3.9639713e-06,0.25201282,-0.15077658,-9.870204,0.013452774,0.0020244578,0.005742207,0.00019631788,0.00012937484,0.0010040273,2.8495351e-06,6.482376e-07,4.0758655e-07,47.91834,47.91834
136126563,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018303715,0.0009653125,4.0994773e-06,0.2523345,-0.15313084,-9.872859,0.013785166,0.002144082,0.005611054,0.00018218896,0.00015520249,0.0009544287,2.248243e-06,7.689421e-07,3.6653537e-07,47.903236,47.903236
137154749,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.017529387,0.000868175,3.681497e-06,0.25197923,-0.15176298,-9.868315,0.013695201,0.0020892394,0.0057380395,0.00020393089,0.00014139806,0.0011230691,2.21247e-06,6.088249e-07,2.2117725e-07,47.91544,47.91544
138183108,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.016335137,0.0008800099,3.6658885e-06,0.25384057,-0.15075332,-9.867525,0.01359881,0.002095363,0.0054900255,0.00020261393,0.000104963605,0.000879361,2.1825342e-06,7.177543e-07,3.9131635e-07,47.94207,47.94207
139108477,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.0151176015,0.00082309655,3.4942861e-06,0.2519034,-0.15497208,-9.87291,0.013660629,0.002259606,0.0054760347,0.00017218111,0.00013187563,0.0010276462,3.5471828e-06,5.832708e-07,3.9031016e-07,47.94519,47.94519
140136761,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.014720075,0.0008185943,3.429622e-06,0.2521112,-0.15132296,-9.869019,0.01352515,0.0021770964,0.0056127305,0.000137063,0.00010174635,0.0012765767,2.1952474e-06,6.6368113e-07,4.0812168e-07,47.960144,47.960144
141165122,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.015070342,0.00083978847,3.597283e-06,0.25035447,-0.15143885,-9.873836,0.01352581,0.002032765,0.0054537575,0.00022879447,0.00013689799,0.001127462,3.0674264e-06,8.7691785e-07,2.5523715e-07,47.960213,47.960213
142193329,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.01573161,0.000862849,3.6661818e-06,0.25278607,-0.15203166,-9.873575,0.013644361,0.0021914574,0.0054154606,0.0001487653,0.00015120061,0.0008820764,3.0901926e-06,3.387342e-07,4.0344253e-07,47.964424,47.964424
143118781,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.015007248,0.0008678299,3.490553e-06,0.2517794,-0.15033638,-9.871163,0.013489487,0.0020243027,0.0054579577,0.00017524732,0.00015329747,0.0009495847,3.0788867e-06,6.8614236e-07,4.0412013e-07,47.97146,47.97146
144147107,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.014870363,0.0008216987,3.5127505e-06,0.25445554,-0.15141201,-9.875817,0.013636656,0.0021998044,0.005704791,0.00014036364,0.00011684661,0.0009182399,2.5210268e-06,5.2634107e-07,3.4663825e-07,47.99121,47.99121
145175429,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.016997341,0.0008794988,3.7099642e-06,0.251212,-0.15004316,-9.873093,0.0136245815,0.0021951199,0.0055253003,0.00019592313,8.539842e-05,0.0009815329,2.003102e-06,6.236527e-07,3.460719e-07,47.99302,47.99302
146203716,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.016371546,0.0008888357,3.7061018e-06,0.25123066,-0.15087944,-9.871735,0.013540043,0.0020795206,0.0053868107,0.00019538697,9.651054e-05,0.00094142056,2.5824802e-06,7.917292e-07,2.9706655e-07,48.01392,48.01392
147129175,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.019262549,0.0009801617,4.1814515e-06,0.25254333,-0.15385984,-9.874724,0.013638173,0.0020910904,0.0055064503,0.0002304849,0.00014119127,0.00097645604,2.328486e-06,6.883151e-07,2.8065077e-07,48.006443,48.006443
148157415,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018662317,0.00092206395,3.8994826e-06,0.25154474,-0.15147382,-9.877924,0.013649591,0.0022084992,0.0056941546,0.00017756136,0.0001345551,0.00086187903,2.0636678e-06,6.686814e-07,3.011447e-07,48.013706,48.013706
149185657,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.01820185,0.00089925365,3.8948733e-06,0.25176635,-0.14970711,-9.874972,0.013638151,0.002157583,0.0056729177,0.00014736627,9.719902e-05,0.00092983316,2.056361e-06,6.64526e-07,3.271238e-07,48.020027,48.020027
150111185,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.020920197,0.0009991855,4.3318682e-06,0.24920179,-0.1507783,-9.876169,0.0136110345,0.0022559802,0.0053690686,0.00022580671,0.00018196786,0.00094148726,2.5493725e-06,6.7631225e-07,3.6800807e-07,48.03389,48.03389
151139404,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018289534,0.0009006624,3.867681e-06,0.25019392,-0.1496595,-9.875366,0.0135572655,0.002165348,0.0055300067,0.00017482255,0.000104027735,0.0010617487,2.2799636e-06,9.728531e-07,4.6787002e-07,48.03969,48.03969
152167882,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.01665908,0.0008861306,3.6802362e-06,0.25153697,-0.15278606,-9.8720875,0.013447751,0.002208934,0.0054046405,0.00018457128,0.00011433025,0.0010722763,1.9323347e-06,7.896281e-07,2.4931083e-07,48.045273,48.045273
153195978,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.01776476,0.00091126136,3.905541e-06,0.2541153,-0.15415831,-9.874533,0.013659782,0.0021508152,0.005521023,0.00020903815,0.00010417246,0.0010114798,2.1469605e-06,5.755519e-07,2.9928438e-07,48.0574,48.0574
154121429,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.017633036,0.0008935598,3.8260932e-06,0.2500902,-0.15052651,-9.871171,0.013627313,0.0021177072,0.0054765297,0.00020741562,0.00016616094,0.0010050933,2.8007876e-06,6.0673983e-07,4.2277128e-07,48.06459,48.06459
155149743,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018085994,0.0009085439,3.938018e-06,0.25106993,-0.1492327,-9.872757,0.013434673,0.0021535468,0.0056191613,0.00022219853,0.00012970316,0.0007828635,2.8523439e-06,3.6632719e-07,3.1016992e-07,48.085274,48.085274
156178009,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.017375356,0.0009182097,3.89745e-06,0.25108472,-0.15179048,-9.874268,0.013850402,0.0021662577,0.0055513005,0.00019860927,0.00013856975,0.0009311458,2.517503e-06,9.586138e-07,2.477363e-07,48.083015,48.083015
