timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
41659103,32767,32767,32767,32767,32767,0
41663058,32767,32767,32767,32767,32767,32767
41667013,32767,32767,-25,32767,32767,32767
41670968,32767,32767,32767,32767,32767,32767
41674923,32767,32767,32767,32767,32767,32767
41678879,32767,32767,32767,32767,32767,32767
41682832,32767,32767,-29,32767,32767,32767
41686787,32767,32767,32767,32767,32767,32767
41690742,32767,32767,32767,32767,-22,32767
41694697,32767,32767,32767,32767,32767,-14
41698653,32767,32767,-15,32767,32767,32767
41702607,32767,32767,32767,-26,32767,32767
41706562,32767,32767,32767,32767,32767,32767
41710516,32767,32767,32767,32767,32767,32767
41714471,32767,32767,32767,32767,32767,32767
41718432,32767,32767,32767,32767,32767,32767
41722381,32767,32767,-26,32767,32767,32767
41726336,32767,32767,32767,32767,32767,32767
41730291,32767,32767,32767,32767,32767,32767
41734246,32767,32767,32767,32767,32767,32767
41738201,32767,32767,32767,32767,2,32767
41742158,32767,32767,32767,32767,32767,32767
41746114,32767,32767,-24,32767,32767,32767
41750067,32767,32767,32767,32767,32767,32767
41754020,32767,32767,32767,32767,32767,32767
41757975,32767,32767,32767,32767,32767,32767
41761930,32767,32767,-23,32767,32767,-8
41765887,32767,32767,32767,32767,32767,32767
41769839,32767,32767,32767,32767,32767,32767
41773795,32767,32767,32767,32767,32767,32767
41777749,32767,32767,32767,32767,32767,32767
41781704,32767,32767,32767,32767,32767,32767
41785659,32767,32767,-18,9,32767,32767
41789614,32767,32767,32767,32767,-12,32767
41793569,32767,32767,32767,32767,32767,-9
41797524,32767,32767,32767,32767,32767,32767
41801480,32767,32767,-17,32767,32767,32767
41805433,32767,32767,32767,32767,32767,32767
41809388,32767,32767,32767,32767,32767,32767
41813343,32767,32767,32767,32767,32767,32767
41817298,32767,32767,-5,32767,32767,32767
41821253,32767,32767,32767,32767,32767,32767
41825208,32767,32767,32767,32767,32767,32767
41829163,32767,32767,32767,32767,32767,-14
41833120,32767,32767,-13,32767,32767,32767
41837072,32767,32767,32767,32767,32767,32767
41841027,32767,32767,32767,32767,-26,32767
41844982,32767,32767,32767,32767,32767,32767
41848937,32767,32767,-7,32767,32767,32767
41852892,32767,32767,32767,32767,32767,32767
41856855,32767,32767,32767,32767,32767,32767
41860802,32767,32767,32767,32767,32767,-7
41864757,32767,32767,-11,32767,32767,32767
41868713,32767,32767,32767,32767,32767,32767
41872666,32767,32767,32767,8,32767,32767
41876621,32767,32767,32767,32767,32767,32767
41880576,32767,32767,32767,32767,32767,32767
41884531,32767,32767,32767,32767,32767,32767
41888486,32767,32767,0,32767,0,32767
41892448,32767,32767,32767,32767,32767,32767
41896396,32767,32767,32767,32767,32767,-18
41900351,32767,32767,32767,32767,32767,32767
41904305,32767,32767,-5,32767,32767,32767
41908260,32767,32767,32767,32767,32767,32767
41912215,32767,32767,32767,32767,32767,32767
41916170,32767,32767,32767,32767,32767,32767
41920125,32767,32767,-3,32767,32767,32767
41924080,32767,32767,32767,32767,32767,32767
41928035,32767,32767,32767,32767,32767,32767
41931989,32767,32767,32767,32767,32767,32767
41935944,32767,32767,32767,32767,32767,32767
41939899,32767,32767,-20,32767,-14,32767
41943854,32767,32767,32767,32767,32767,32767
41947809,32767,32767,32767,32767,32767,32767
41951764,32767,32767,32767,32767,32767,32767
41955719,32767,32767,-27,32767,32767,32767
41959690,32767,32767,32767,1,32767,-4
41963628,32767,32767,32767,32767,32767,32767
41967583,32767,32767,32767,32767,32767,32767
41971538,32767,32767,32767,32767,32767,32767
41975493,32767,32767,32767,32767,32767,32767
41979448,32767,32767,-20,32767,32767,32767
41983403,32767,32767,32767,32767,32767,32767
41987361,32767,32767,32767,32767,32767,32767
41991313,32767,32767,32767,32767,-29,32767
41995268,32767,32767,-25,32767,32767,-21
41999224,32767,32767,32767,32767,32767,32767
42003177,32767,32767,32767,32767,32767,32767
42007132,32767,32767,32767,32767,32767,32767
42011087,32767,32767,-26,32767,32767,32767
42015042,32767,32767,32767,32767,32767,32767
42018998,32767,32767,32767,32767,32767,32767
42022952,32767,32767,32767,32767,32767,32767
42026907,32767,32767,-22,32767,32767,-7
42030862,32767,32767,32767,32767,32767,32767
42034816,32767,32767,32767,32767,32767,32767
42038771,32767,32767,32767,32767,-3,32767
42042726,32767,32767,-24,32767,32767,32767
42046681,32767,32767,32767,-3,32767,32767
42050636,32767,32767,32767,32767,32767,32767
42054591,32767,32767,32767,32767,32767,32767
42058546,32767,32767,-15,32767,32767,32767
42062500,32767,32767,32767,32767,32767,-24
42066455,32767,32767,32767,32767,32767,32767
42070410,32767,32767,32767,32767,32767,32767
42074365,32767,32767,-19,32767,32767,32767
42078320,32767,32767,32767,32767,32767,32767
42082278,32767,32767,32767,32767,32767,32767
42086230,32767,32767,32767,32767,32767,32767
42090184,32767,32767,-16,32767,-17,32767
42094140,32767,32767,32767,32767,32767,-10
42098094,32767,32767,32767,32767,32767,32767
42102049,32767,32767,32767,32767,32767,32767
42106004,32767,32767,32767,32767,32767,32767
42109959,32767,32767,32767,32767,32767,32767
42113914,32767,32767,-14,32767,32767,32767
42117869,32767,32767,32767,32767,32767,32767
42121824,32767,32767,32767,32767,32767,32767
42125779,32767,32767,32767,32767,32767,32767
42129734,32767,32767,-8,32767,32767,-17
42133688,32767,32767,32767,-7,32767,32767
42137643,32767,32767,32767,32767,8,32767
42141598,32767,32767,32767,32767,32767,32767
42145553,32767,32767,-12,32767,32767,32767
42149508,32767,32767,32767,32767,32767,32767
42153463,32767,32767,32767,32767,32767,32767
42157418,32767,32767,32767,32767,32767,32767
42161372,32767,32767,32767,32767,32767,-22
42165327,32767,32767,32767,32767,32767,32767
42169284,32767,32767,-9,32767,32767,32767
42173237,32767,32767,32767,32767,32767,32767
42177192,32767,32767,32767,32767,32767,32767
42181147,32767,32767,32767,32767,32767,32767
42185102,32767,32767,-11,32767,32767,32767
42189056,32767,32767,32767,32767,-6,32767
42193011,32767,32767,32767,32767,32767,1
42196966,32767,32767,32767,32767,32767,32767
42200921,32767,32767,-9,32767,32767,32767
42204876,32767,32767,32767,32767,32767,32767
42208831,32767,32767,32767,32767,32767,32767
42212786,32767,32767,32767,32767,32767,32767
42216741,32767,32767,32767,32767,32767,32767
42220696,32767,32767,-30,-11,32767,32767
42224650,32767,32767,32767,32767,32767,32767
42228606,32767,32767,32767,32767,32767,32767
42232560,32767,32767,32767,32767,32767,-26
42236515,32767,32767,32767,32767,32767,32767
42240471,32767,32767,-2,32767,-20,32767
42244425,32767,32767,32767,32767,32767,32767
42248380,32767,32767,32767,32767,32767,32767
42252335,32767,32767,32767,32767,32767,32767
42256294,32767,32767,32767,32767,32767,32767
42260244,32767,32767,-29,32767,32767,-11
42264199,32767,32767,32767,32767,32767,32767
42268157,32767,32767,32767,32767,32767,32767
42272109,32767,32767,32767,32767,32767,32767
42276064,32767,32767,-25,32767,32767,32767
42280019,32767,32767,32767,32767,32767,32767
42283974,32767,32767,32767,32767,32767,32767
42287929,32767,32767,32767,32767,8,32767
42291883,32767,32767,-29,32767,32767,32767
42295840,32767,32767,32767,32767,32767,-26
42299793,32767,32767,32767,32767,32767,32767
42303748,32767,32767,32767,32767,32767,32767
42307703,32767,32767,32767,-16,32767,32767
42311658,32767,32767,32767,32767,32767,32767
42315613,32767,32767,-28,32767,32767,32767
42319569,32767,32767,32767,32767,32767,32767
42323523,32767,32767,32767,32767,32767,32767
42327477,32767,32767,32767,32767,32767,32767
42331432,32767,32767,-23,32767,32767,32767
42335387,32767,32767,32767,32767,32767,32767
42339342,32767,32767,32767,32767,-9,32767
42343298,32767,32767,32767,32767,32767,32767
42347252,32767,32767,32767,32767,32767,32767
42351207,32767,32767,32767,32767,32767,32767
42355161,32767,32767,-23,32767,32767,32767
42359116,32767,32767,32767,32767,32767,32767
42363071,32767,32767,32767,32767,32767,-28
42367026,32767,32767,32767,32767,32767,32767
42370981,32767,32767,32767,32767,32767,32767
42374936,32767,32767,32767,32767,32767,32767
42378891,32767,32767,-14,32767,32767,32767
42382847,32767,32767,32767,32767,32767,32767
42386800,32767,32767,32767,32767,32767,32767
42390755,32767,32767,32767,32767,-21,32767
42394711,32767,32767,-18,-20,32767,32767
42398665,32767,32767,32767,32767,32767,-21
42402620,32767,32767,32767,32767,32767,32767
42406575,32767,32767,32767,32767,32767,32767
42410530,32767,32767,-13,32767,32767,32767
42414485,32767,32767,32767,32767,32767,32767
42418439,32767,32767,32767,32767,32767,32767
42422394,32767,32767,32767,32767,32767,32767
42426349,32767,32767,32767,32767,32767,-2
42430304,32767,32767,32767,32767,32767,32767
42434259,32767,32767,-13,32767,32767,32767
42438214,32767,32767,32767,32767,2,32767
42442170,32767,32767,32767,32767,32767,32767
42446123,32767,32767,32767,32767,32767,32767
42450078,32767,32767,32767,32767,32767,32767
42454033,32767,32767,32767,32767,32767,32767
42457988,32767,32767,-3,32767,32767,32767
42461943,32767,32767,32767,32767,32767,-17
42465898,32767,32767,32767,32767,32767,32767
42469853,32767,32767,32767,32767,32767,32767
42473808,32767,32767,-8,32767,32767,32767
42477763,32767,32767,32767,32767,32767,32767
42481718,32767,32767,32767,-23,32767,32767
42485672,32767,32767,32767,32767,32767,32767
42489629,32767,32767,-13,32767,-12,32767
42493582,32767,32767,32767,32767,32767,32767
42497537,32767,32767,32767,32767,32767,-19
42501505,32767,32767,32767,32767,32767,32767
42505447,32767,32767,-11,32767,32767,32767
42509402,32767,32767,32767,32767,32767,32767
42513357,32767,32767,32767,32767,32767,32767
42517313,32767,32767,32767,32767,32767,32767
42521267,32767,32767,32767,32767,32767,32767
42525221,32767,32767,32767,32767,32767,32767
42529176,32767,32767,-9,32767,32767,32767
42533132,32767,32767,32767,32767,32767,32767
42537086,32767,32767,32767,32767,32767,32767
42541041,32767,32767,32767,32767,-26,32767
42544995,32767,32767,-8,32767,32767,32767
42548950,32767,32767,32767,32767,32767,32767
42552905,32767,32767,32767,32767,32767,32767
42556860,32767,32767,32767,32767,32767,32767
42560815,32767,32767,-6,32767,32767,-17
42564770,32767,32767,32767,32767,32767,32767
42568725,32767,32767,32767,-27,32767,32767
42572680,32767,32767,32767,32767,32767,32767
42576635,32767,32767,32767,32767,32767,32767
42580589,32767,32767,-25,32767,32767,32767
42584544,32767,32767,32767,32767,32767,32767
42588499,32767,32767,32767,32767,0,32767
42592454,32767,32767,0,32767,32767,32767
42596409,32767,32767,32767,32767,32767,-15
42600364,32767,32767,32767,32767,32767,32767
42604319,32767,32767,32767,32767,32767,32767
42608275,32767,32767,1,32767,32767,32767
42612234,32767,32767,32767,32767,32767,32767
42616183,32767,32767,32767,32767,32767,32767
42620138,32767,32767,32767,32767,32767,32767
42624093,32767,32767,2,32767,32767,32767
42628056,32767,32767,32767,32767,32767,1
42632003,32767,32767,32767,32767,32767,32767
42635958,32767,32767,32767,32767,32767,32767
42639913,32767,32767,32767,32767,-15,32767
42643867,32767,32767,-27,32767,32767,32767
42647823,32767,32767,32767,32767,32767,32767
42651779,32767,32767,32767,9,32767,32767
42655732,32767,32767,32767,32767,32767,32767
42659687,32767,32767,-17,32767,32767,32767
42663642,32767,32767,32767,32767,32767,-30
42667599,32767,32767,32767,32767,32767,32767
42671552,32767,32767,32767,32767,32767,32767
42675506,32767,32767,-23,32767,32767,32767
42679461,32767,32767,32767,32767,32767,32767
42683416,32767,32767,32767,32767,32767,32767
42687371,32767,32767,32767,32767,32767,32767
42691326,32767,32767,-22,32767,-29,32767
42695281,32767,32767,32767,32767,32767,-10
42699237,32767,32767,32767,32767,32767,32767
42703191,32767,32767,32767,32767,32767,32767
42707146,32767,32767,-20,32767,32767,32767
42711100,32767,32767,32767,32767,32767,32767
42715055,32767,32767,32767,32767,32767,32767
42719010,32767,32767,32767,32767,32767,32767
42722965,32767,32767,-23,32767,32767,32767
42726920,32767,32767,32767,32767,32767,-5
42730875,32767,32767,32767,32767,32767,32767
42734830,32767,32767,32767,32767,32767,32767
42738789,32767,32767,32767,4,-3,32767
42742739,32767,32767,32767,32767,32767,32767
42746694,32767,32767,-19,32767,32767,32767
42750649,32767,32767,32767,32767,32767,32767
42754604,32767,32767,32767,32767,32767,32767
42758560,32767,32767,32767,32767,32767,32767
42762514,32767,32767,-18,32767,32767,-22
42766469,32767,32767,32767,32767,32767,32767
42770424,32767,32767,32767,32767,32767,32767
42774378,32767,32767,32767,32767,32767,32767
42778333,32767,32767,-3,32767,32767,32767
42782288,32767,32767,32767,32767,32767,32767
42786243,32767,32767,32767,32767,32767,32767
42790198,32767,32767,32767,32767,-17,32767
42794153,32767,32767,-15,32767,32767,32767
42798108,32767,32767,32767,32767,32767,-26
42802063,32767,32767,32767,32767,32767,32767
42806017,32767,32767,32767,32767,32767,32767
42809972,32767,32767,-14,32767,32767,32767
42813927,32767,32767,32767,32767,32767,32767
42817882,32767,32767,32767,32767,32767,32767
42821837,32767,32767,32767,32767,32767,32767
42825792,32767,32767,-13,1,32767,32767
42829747,32767,32767,32767,32767,32767,-22
42833702,32767,32767,32767,32767,32767,32767
42837656,32767,32767,32767,32767,9,32767
42841611,32767,32767,-9,32767,32767,32767
42845566,32767,32767,32767,32767,32767,32767
42849521,32767,32767,32767,32767,32767,32767
42853476,32767,32767,32767,32767,32767,32767
42857431,32767,32767,32767,32767,32767,32767
42861386,32767,32767,-29,32767,32767,-12
42865341,32767,32767,32767,32767,32767,32767
42869296,32767,32767,32767,32767,32767,32767
42873255,32767,32767,3,32767,32767,32767
42877205,32767,32767,32767,32767,32767,32767
42881160,32767,32767,32767,32767,32767,32767
42885115,32767,32767,32767,32767,32767,32767
42889070,32767,32767,32767,32767,-6,32767
42893025,32767,32767,32767,32767,32767,1
42896980,32767,32767,32767,32767,32767,32767
42900935,32767,32767,-27,32767,32767,32767
42904891,32767,32767,32767,32767,32767,32767
42908845,32767,32767,32767,32767,32767,32767
42912799,32767,32767,32767,-4,32767,32767
42916754,32767,32767,-24,32767,32767,32767
42920715,32767,32767,32767,32767,32767,32767
42924673,32767,32767,32767,32767,32767,32767
42928619,32767,32767,32767,32767,32767,-20
42932574,32767,32767,-28,32767,32767,32767
42936529,32767,32767,32767,32767,32767,32767
42940483,32767,32767,32767,32767,-19,32767
42944438,32767,32767,3,32767,32767,32767
42948393,32767,32767,32767,32767,32767,32767
42952348,32767,32767,32767,32767,32767,32767
42956303,32767,32767,32767,32767,32767,32767
42960258,32767,32767,32767,32767,32767,-10
42964213,32767,32767,-30,32767,32767,32767
42968168,32767,32767,32767,32767,32767,32767
42972122,32767,32767,32767,32767,32767,32767
42976077,32767,32767,32767,32767,32767,32767
42980032,32767,32767,-18,32767,32767,32767
42983987,32767,32767,32767,32767,32767,32767
42987942,32767,32767,32767,32767,7,32767
42991900,32767,32767,32767,32767,32767,32767
42995852,32767,32767,32767,32767,32767,-25
42999809,32767,32767,32767,-9,32767,32767
43003762,32767,32767,-27,32767,32767,32767
43007716,32767,32767,32767,32767,32767,32767
43011671,32767,32767,32767,32767,32767,32767
43015626,32767,32767,32767,32767,32767,32767
43019581,32767,32767,-12,32767,32767,32767
43023536,32767,32767,32767,32767,32767,32767
43027491,32767,32767,32767,32767,32767,-3
43031445,32767,32767,32767,32767,32767,32767
43035401,32767,32767,-17,32767,32767,32767
43039355,32767,32767,32767,32767,-8,32767
43043310,32767,32767,32767,32767,32767,32767
43047265,32767,32767,32767,32767,32767,32767
43051227,32767,32767,-16,32767,32767,32767
43055175,32767,32767,32767,32767,32767,32767
43059130,32767,32767,32767,32767,32767,0
43063085,32767,32767,32767,32767,32767,32767
43067041,32767,32767,-15,32767,32767,32767
43070994,32767,32767,32767,32767,32767,32767
43074950,32767,32767,32767,32767,32767,32767
43078904,32767,32767,32767,32767,32767,32767
43082859,32767,32767,32767,32767,32767,32767
43086814,32767,32767,32767,-13,32767,32767
43090769,32767,32767,-20,32767,-21,32767
43094726,32767,32767,32767,32767,32767,-15
43098679,32767,32767,32767,32767,32767,32767
43102634,32767,32767,32767,32767,32767,32767
43106588,32767,32767,-17,32767,32767,32767
43110543,32767,32767,32767,32767,32767,32767
43114498,32767,32767,32767,32767,32767,32767
43118453,32767,32767,32767,32767,32767,32767
43122408,32767,32767,-15,32767,32767,32767
43126363,32767,32767,32767,32767,32767,32767
43130318,32767,32767,32767,32767,32767,-29
43134273,32767,32767,32767,32767,32767,32767
43138227,32767,32767,3,32767,3,32767
43142182,32767,32767,32767,32767,32767,32767
43146137,32767,32767,32767,32767,32767,32767
43150092,32767,32767,32767,32767,32767,32767
43154049,32767,32767,-1,32767,32767,32767
43158002,32767,32767,32767,32767,32767,32767
43161957,32767,32767,32767,32767,32767,-24
43165912,32767,32767,32767,32767,32767,32767
43169867,32767,32767,0,32767,32767,32767
43173821,32767,32767,32767,-16,32767,32767
43177776,32767,32767,32767,32767,32767,32767
43181731,32767,32767,32767,32767,32767,32767
43185686,32767,32767,1,32767,32767,32767
43189641,32767,32767,32767,32767,-12,32767
43193596,32767,32767,32767,32767,32767,-4
43197551,32767,32767,32767,32767,32767,32767
43201507,32767,32767,-2,32767,32767,32767
43205460,32767,32767,32767,32767,32767,32767
