timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
97730194,97707563,6780449,188.20186,48.01,99084.78,1.1772912
97816775,97794156,6780449,188.0671,48.0,99086.375,1.17731
97903395,97880757,6780449,187.95612,48.0,99087.7,1.1773258
97990319,97967538,6780449,188.00896,48.0,99087.06,1.1773182
98076589,98053962,6780449,187.80815,48.0,99089.44,1.1773465
98163332,98140561,6780449,187.92441,47.989998,99088.055,1.17733
98249826,98227170,6780449,187.81343,48.0,99089.38,1.1773458
98336382,98313762,6780449,187.81079,47.989998,99089.42,1.1773462
98423009,98400356,6780449,187.78172,47.989998,99089.74,1.17735
98509575,98486957,6780449,188.04066,47.989998,99086.7,1.1773139
98596193,98573563,6780449,187.87155,47.989998,99088.695,1.1773375
98682797,98660156,6780449,187.85571,47.989998,99088.88,1.1773399
98769418,98746777,6780449,187.90326,47.989998,99088.32,1.1773331
98855979,98833432,6780449,187.82137,47.98,99089.3,1.1773448
98942581,98919957,6780449,187.95348,47.98,99087.71,1.177326
99029464,99006560,6780449,187.80022,47.98,99089.516,1.1773474
99115803,99093156,6780449,187.8425,47.969997,99089.05,1.1773417
99202403,99179759,6780449,187.81607,47.969997,99089.36,1.1773455
99288995,99266355,6780449,187.85307,47.969997,99088.92,1.1773403
99375576,99352957,6780449,187.94554,47.96,99087.836,1.1773274
99462210,99439565,6780449,187.81873,47.96,99089.33,1.177345
99548805,99526157,6780449,187.66017,47.96,99091.17,1.1773671
99635508,99612821,6780449,187.67075,47.96,99091.055,1.1773657
99721976,99699356,6780449,187.60469,47.96,99091.836,1.177375
99808623,99785959,6780449,187.69188,47.96,99090.81,1.1773628
99895200,99872568,6780449,187.787,47.95,99089.69,1.1773494
99981795,99959156,6780449,187.65225,47.95,99091.28,1.1773683
100068401,100045762,6780449,187.66017,47.95,99091.19,1.1773672
100155046,100132401,6780449,187.63112,47.95,99091.53,1.1773713
100241588,100218958,6780449,187.73415,47.96,99090.305,1.1773567
100328242,100305561,6780449,187.59677,47.95,99091.92,1.177376
100414793,100392158,6780449,187.75793,47.96,99090.03,1.1773535
100501671,100478899,6780449,187.43822,47.96,99093.8,1.1773983
100587978,100565356,6780449,187.69188,47.96,99090.82,1.1773629
100674696,100651957,6780449,187.72887,47.96,99090.38,1.1773577
100761202,100738563,6780449,187.52277,47.96,99092.81,1.1773865
100847777,100825156,6780449,187.68132,47.96,99090.93,1.1773641
100934397,100911759,6780449,187.45937,47.969997,99093.54,1.1773951
101020983,100998359,6780449,187.7553,47.96,99090.08,1.177354
101107603,101084965,6780449,187.59148,47.96,99091.99,1.1773769
101194198,101171565,6780449,187.50957,47.98,99092.945,1.1773881
101280777,101258158,6780449,187.58618,47.96,99092.06,1.1773777
101367394,101344865,6780449,187.6364,47.969997,99091.445,1.1773703
101453976,101431364,6780449,187.787,47.969997,99089.69,1.1773494
101540875,101517955,6780449,187.62318,47.969997,99091.62,1.1773723
101627213,101604569,6780449,187.5809,47.96,99092.12,1.1773783
101713776,101691156,6780449,187.67868,47.96,99090.95,1.1773645
101800398,101777761,6780449,187.75793,47.96,99090.04,1.1773536
101886983,101864356,6780449,187.6734,47.96,99091.016,1.1773652
101973575,101950956,6780449,187.5809,47.96,99092.11,1.1773782
102060223,102037566,6780449,187.59941,47.95,99091.91,1.1773758
102146826,102124179,6780449,187.6998,47.95,99090.72,1.1773616
102233405,102210875,6780449,187.45937,47.95,99093.54,1.1773951
102319982,102297359,6780449,187.536,47.95,99092.65,1.1773845
102406579,102383958,6780449,187.6866,47.95,99090.86,1.1773633
102493236,102470567,6780449,187.68924,47.94,99090.836,1.177363
102579773,102557157,6780449,187.7738,47.94,99089.82,1.177351
102666393,102643759,6780449,187.65489,47.94,99091.25,1.1773679
102752995,102730362,6780449,187.5492,47.94,99092.484,1.1773827
102839604,102816956,6780449,187.59677,47.94,99091.945,1.1773762
102926215,102903568,6780449,187.5809,47.94,99092.125,1.1773784
103012964,102990240,6780449,187.62054,47.93,99091.664,1.1773729
103099391,103076763,6780449,187.57298,47.93,99092.2,1.1773794
103186036,103163356,6780449,187.62054,47.93,99091.64,1.1773726
103272633,103249986,6780449,187.787,47.92,99089.695,1.1773494
103359227,103336571,6780449,187.69188,47.92,99090.82,1.1773629
103445789,103423160,6780449,187.74474,47.92,99090.17,1.1773552
103532393,103509760,6780449,187.73682,47.92,99090.27,1.1773564
103618981,103596364,6780449,187.68132,47.91,99090.92,1.177364
103705576,103682955,6780449,187.73946,47.91,99090.24,1.177356
103792227,103769567,6780449,187.68924,47.92,99090.84,1.177363
103878779,103856185,6780449,187.66281,47.92,99091.14,1.1773666
103965420,103942759,6780449,187.58618,47.92,99092.06,1.1773777
104052173,104029357,6780449,187.54391,47.91,99092.56,1.1773835
104138585,104115955,6780449,187.63112,47.91,99091.51,1.177371
104225225,104202576,6780449,187.7315,47.899998,99090.33,1.1773571
104311788,104289159,6780449,187.861,47.91,99088.82,1.1773392
104398399,104375757,6780449,187.61525,47.91,99091.7,1.1773734
104485001,104462356,6780449,187.77116,47.91,99089.87,1.1773515
104571580,104548973,6780449,187.80022,47.91,99089.55,1.1773477
104658211,104635564,6780449,187.59677,47.92,99091.94,1.1773762
104744786,104722282,6780449,187.63112,47.92,99091.53,1.1773713
104831392,104808756,6780449,187.74474,47.91,99090.19,1.1773554
104918233,104895356,6780449,187.79494,47.899998,99089.58,1.1773481
105004603,104981955,6780449,188.02747,47.899998,99086.84,1.1773156
105091211,105068563,6780449,187.92177,47.899998,99088.11,1.1773306
105177777,105155158,6780449,187.6734,47.92,99091.03,1.1773654
105264397,105241763,6780449,187.6364,47.92,99091.46,1.1773704
105350993,105328360,6780449,187.60205,47.92,99091.87,1.1773753
105437583,105414959,6780449,187.52277,47.92,99092.79,1.1773863
105524305,105501615,6780449,187.75793,47.91,99090.016,1.1773533
105610792,105588163,6780449,187.52277,47.92,99092.8,1.1773863
105697417,105674756,6780449,187.62318,47.92,99091.625,1.1773725
105783996,105761356,6780449,187.60205,47.92,99091.88,1.1773754
105870650,105847996,6780449,187.57826,47.92,99092.13,1.1773785
105957199,105934560,6780449,187.57298,47.92,99092.23,1.1773795
106043784,106021159,6780449,187.59148,47.92,99092.01,1.177377
106130376,106107756,6780449,187.58354,47.92,99092.09,1.1773779
106216980,106194360,6780449,187.54655,47.92,99092.54,1.1773833
106303588,106280959,6780449,187.70247,47.92,99090.69,1.1773614
106390472,106367716,6780449,187.7183,47.92,99090.5,1.177359
106476790,106454158,6780449,187.69716,47.92,99090.766,1.1773622
106563506,106540756,6780449,187.77908,47.93,99089.77,1.1773504
106650006,106627370,6780449,187.55978,47.93,99092.375,1.1773813
106736580,106713957,6780449,187.60997,47.92,99091.77,1.1773742
106823239,106800563,6780449,187.50693,47.93,99093.01,1.1773888
106909795,106887159,6780449,187.66281,47.93,99091.14,1.1773666
106996384,106973763,6780449,187.55183,47.93,99092.45,1.1773822
107082980,107060357,6780449,187.462,47.93,99093.516,1.1773949
107169614,107146964,6780449,187.49107,47.93,99093.18,1.1773909
107256209,107233637,6780449,187.60997,47.94,99091.77,1.1773742
107342864,107320157,6780449,187.44086,47.94,99093.76,1.1773977
107429689,107406756,6780449,187.55711,47.94,99092.39,1.1773815
107516027,107493359,6780449,187.39595,47.94,99094.3,1.1774042
107602577,107579956,6780449,187.6364,47.94,99091.445,1.1773703
107689190,107666563,6780449,187.52277,47.94,99092.805,1.1773864
107775775,107753158,6780449,187.57298,47.95,99092.22,1.1773795
107862383,107839756,6780449,187.60733,47.94,99091.79,1.1773744
107948994,107926356,6780449,187.54391,47.95,99092.555,1.1773835
108035724,108013028,6780449,187.35896,47.95,99094.74,1.1774094
108122214,108099718,6780449,187.50957,47.95,99092.945,1.1773881
108208778,108186157,6780449,187.50165,47.95,99093.06,1.1773895
108295406,108272758,6780449,187.41974,47.95,99094.016,1.1774008
108381977,108359355,6780449,187.46992,47.95,99093.43,1.1773939
108468581,108445959,6780449,187.63904,47.95,99091.42,1.17737
108555204,108532572,6780449,187.68396,47.95,99090.914,1.1773639
108641803,108619162,6780449,187.65225,47.95,99091.28,1.1773683
108728397,108705762,6780449,187.38539,47.96,99094.41,1.1774055
108814984,108792357,6780449,187.47256,47.96,99093.41,1.1773936
108901962,108879145,6780449,187.61525,47.96,99091.71,1.1773734
108988191,108965563,6780449,187.3748,47.96,99094.54,1.177407
109074889,109052157,6780449,187.57298,47.96,99092.195,1.1773793
109161379,109138756,6780449,187.49371,47.96,99093.15,1.1773906
109247980,109225358,6780449,187.55978,47.969997,99092.36,1.177381
109334583,109311960,6780449,187.55978,47.969997,99092.37,1.1773812
109421215,109398564,6780449,187.536,47.969997,99092.64,1.1773845
109507782,109485158,6780449,187.5122,47.969997,99092.93,1.177388
109594383,109571756,6780449,187.47522,47.969997,99093.35,1.177393
109680993,109658358,6780449,187.69188,47.96,99090.805,1.1773627
109767616,109745058,6780449,187.6734,47.969997,99091.04,1.1773655
109854194,109831565,6780449,187.57298,47.969997,99092.21,1.1773795
109940994,109918156,6780449,187.71303,47.969997,99090.56,1.1773597
110027395,110004759,6780449,187.70247,47.96,99090.69,1.1773614
110113987,110091363,6780449,187.536,47.98,99092.664,1.1773847
110200579,110177958,6780449,187.68132,47.969997,99090.945,1.1773643
110287192,110264562,6780449,187.50693,47.969997,99093.01,1.1773888
110373778,110351156,6780449,187.54128,47.98,99092.59,1.1773839
110460399,110437758,6780449,187.7923,47.98,99089.63,1.1773487
110547018,110524375,6780449,187.55978,47.98,99092.38,1.1773814
110633604,110611091,6780449,187.68924,47.98,99090.83,1.177363
110720228,110697563,6780449,187.74738,47.98,99090.14,1.1773548
110807059,110784161,6780449,187.73682,47.98,99090.28,1.1773565
110893374,110870759,6780449,187.57562,47.989998,99092.19,1.1773791
110979976,110957359,6780449,187.6998,47.98,99090.72,1.1773616
111066606,111043958,6780449,187.71039,47.989998,99090.586,1.17736
111153231,111130564,6780449,187.72095,47.989998,99090.47,1.1773587
111239797,111217158,6780449,187.72623,47.989998,99090.414,1.177358
111326406,111303756,6780449,187.72359,47.989998,99090.43,1.1773582
111413208,111390473,6780449,187.7421,47.989998,99090.2,1.1773555
111499582,111476958,6780449,187.70247,47.989998,99090.695,1.1773614
111586254,111563560,6780449,187.63904,48.0,99091.42,1.17737
111672781,111650156,6780449,187.75793,47.989998,99090.04,1.1773536
111759398,111736755,6780449,187.69188,48.0,99090.8,1.1773626
111845975,111823358,6780449,187.58618,48.0,99092.055,1.1773776
111932598,111909956,6780449,187.72887,48.0,99090.36,1.1773573
112019192,111996561,6780449,187.90326,48.01,99088.32,1.1773331
112105817,112083177,6780449,188.0116,48.0,99087.02,1.1773177
112192407,112169771,6780449,187.80286,48.0,99089.51,1.1773473
