timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
189696888,189695613,0.8783904,-0.00020029952,0.016792638,0.47764888,0.00010969238,-0.00016605781,0.0013562546,1.3718511,5.2258773,-0.00068941235,-3.1069652e-05,3.1111285e-05,4.3199223e-05,-0.00042224783,0.0007023162,0.00027600568,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.28131915e-05,3.4454606e-06,4.844513e-06,5.444097e-05,0.00017316456,0.00017119903,0.0033580253,0.15153392,0.18560264,0.004367127,1.737699e-11,1.7362414e-11,3.9563915e-11,1.41858e-07,5.0430874e-08,5.0000388e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
190693641,190692268,0.8776922,-0.00021031784,0.016802862,0.47892997,7.3684554e-05,-6.307682e-05,0.0025741255,1.3730614,5.2257156,0.0011625963,-3.1056745e-05,3.1104704e-05,4.2130403e-05,-0.0004222637,0.0007024076,0.00027643066,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.2921693e-05,3.4500913e-06,4.8467564e-06,5.4338234e-05,0.00018170214,0.00017945463,0.0038495045,0.15155348,0.18562795,0.0055034515,1.7382144e-11,1.7367628e-11,3.9562686e-11,1.418586e-07,5.0438818e-08,5.0001812e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
191694288,191692880,0.87728876,-0.00022251297,0.016776863,0.47966978,0.00014899262,-0.00025423005,0.00261038,1.3738344,5.225576,0.0013004378,-3.105256e-05,3.1106356e-05,4.141125e-05,-0.0004222594,0.00070245797,0.00027911857,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.303404e-05,3.4575157e-06,4.851336e-06,5.423183e-05,0.00018991469,0.000188054,0.0032272406,0.15156984,0.18565255,0.004097389,1.738873e-11,1.7374244e-11,3.9561448e-11,1.4185629e-07,5.044639e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
192694801,192693488,0.87718403,-0.0002309461,0.0167824,0.47986102,0.00013235581,-6.3778134e-05,0.0035766647,1.3742831,5.225507,0.0024914462,-3.107568e-05,3.110713e-05,4.102064e-05,-0.00042225228,0.0007024724,0.0002818565,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.3145112e-05,3.4519562e-06,4.8431148e-06,5.412622e-05,0.00017833186,0.00017618864,0.0037097454,0.15158615,0.18567756,0.005160522,1.7379459e-11,1.7365066e-11,3.956011e-11,1.4185251e-07,5.045379e-08,5.0001407e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
193695396,193694098,0.8763047,-0.0002599853,0.016784204,0.48146492,0.00013464996,6.656312e-05,0.0034526393,1.3755418,5.225314,0.0032891966,-3.105339e-05,3.109941e-05,3.9843497e-05,-0.0004222647,0.00070255453,0.00028502787,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.3259036e-05,3.4595876e-06,4.8476245e-06,5.401761e-05,0.0001875106,0.0001850902,0.004224537,0.1516037,0.18570395,0.0065019624,1.7386242e-11,1.7371897e-11,3.9558735e-11,1.4185052e-07,5.0461384e-08,5.0002857e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
194695960,194694708,0.87617517,-0.00028181594,0.016779669,0.4817005,1.0578136e-05,-3.041694e-05,0.00089789147,1.375885,5.2252035,0.0017175003,-3.106515e-05,3.108374e-05,3.946609e-05,-0.0004222545,0.00070255983,0.00028936515,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.3372892e-05,3.4676455e-06,4.851382e-06,5.390902e-05,0.00019857333,0.00019654688,0.0035724833,0.15161991,0.18572809,0.004839041,1.739408e-11,1.7379705e-11,3.9557337e-11,1.4184728e-07,5.0468813e-08,5.0001024e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
195697166,195695319,0.8755781,-0.00029951186,0.016754948,0.4827859,-7.336235e-05,-3.453054e-05,-0.0009808902,1.3767008,5.2250147,0.00033428485,-3.105776e-05,3.1087613e-05,3.86162e-05,-0.00042224984,0.0007026051,0.00029071246,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.3486805e-05,3.450778e-06,4.831178e-06,5.3800228e-05,0.0001640039,0.00016170499,0.004078303,0.15163963,0.18575037,0.0060990145,1.736901e-11,1.7354732e-11,3.9556004e-11,1.4184357e-07,5.0476213e-08,5.000245e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
196697795,196695929,0.87531364,-0.0002557629,0.016768508,0.48326477,9.2258284e-05,-1.9940288e-05,-0.0016482805,1.3771666,5.224897,-0.0006405997,-3.1063046e-05,3.1073178e-05,3.811713e-05,-0.00042224384,0.0007026194,0.0002901748,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.3600091e-05,3.4549105e-06,4.831287e-06,5.3691878e-05,0.00016466422,0.00016272439,0.0034376923,0.15165819,0.18577148,0.0045381454,1.7370825e-11,1.7356555e-11,3.955463e-11,1.4183946e-07,5.048355e-08,5.000061e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
197693869,197692585,0.87493044,-0.0002632324,0.01676939,0.48395807,7.528903e-05,9.130085e-06,-0.0015855411,1.377756,5.2247643,-0.0011383413,-3.1046384e-05,3.1082305e-05,3.7515427e-05,-0.0004222146,0.00070264423,0.00028903945,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.3712051e-05,3.4615362e-06,4.83495e-06,5.358448e-05,0.00017719399,0.00017496807,0.003934556,0.15167858,0.1857951,0.0057198806,1.7378802e-11,1.7364636e-11,3.9553343e-11,1.4183773e-07,5.0491185e-08,5.0002047e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
198695082,198693197,0.87436235,-0.00029723326,0.016776742,0.48498365,0.00014541126,6.970038e-05,-0.001046548,1.3785303,5.22462,-0.0007831912,-3.1017225e-05,3.1061973e-05,3.67408e-05,-0.00042217472,0.0007026721,0.00028717602,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.38260275e-05,3.4568634e-06,4.8261545e-06,5.347505e-05,0.00016369684,0.00016185315,0.003305402,0.15169658,0.18581618,0.004256973,1.7369722e-11,1.7355522e-11,3.955197e-11,1.4183533e-07,5.0498738e-08,5.000024e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
199695054,199693808,0.87438536,-0.00031030248,0.016788673,0.48494163,2.984151e-05,-6.679845e-05,-0.00057883316,1.3786907,5.224573,-0.0006580455,-3.1029813e-05,3.105133e-05,3.658448e-05,-0.0004221431,0.00070265954,0.00028616877,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.3937109e-05,3.465045e-06,4.8313755e-06,5.3368007e-05,0.00017582125,0.00017370064,0.003793301,0.1517175,0.1858392,0.0053636506,1.7378168e-11,1.7364016e-11,3.9550623e-11,1.4183311e-07,5.0506305e-08,5.0001653e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
200703643,200702329,0.8732646,-0.00035611278,0.016768442,0.4869576,0.0001328898,2.9714241e-05,-8.381941e-05,1.3799607,5.2243505,-0.00037362313,-3.0995583e-05,3.1031937e-05,3.5269593e-05,-0.0004221167,0.00070272473,0.00028555046,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.4019877e-05,3.4784075e-06,4.840944e-06,5.3132724e-05,0.00020169583,0.00019930887,0.004343329,0.15173763,0.18586479,0.006842106,1.7395526e-11,1.7381482e-11,3.9509295e-11,1.4183273e-07,5.0514185e-08,5.0003194e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
201696368,201695031,0.8735755,-0.00032238517,0.016783332,0.4863992,-5.0252587e-05,-1.2726181e-05,0.0005127744,1.380025,5.224189,-4.799016e-06,-3.1007577e-05,3.10416e-05,3.5466124e-05,-0.00042207574,0.00070262555,0.0002852348,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.41639175e-05,3.4773507e-06,4.835839e-06,5.31489e-05,0.00019706335,0.00019504924,0.0036545463,0.15175341,0.18588842,0.005029406,1.7391708e-11,1.7377665e-11,3.9548045e-11,1.4182996e-07,5.052161e-08,5.000125e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
202697563,202695643,0.87338823,-0.00034683442,0.01678035,0.48673543,-0.0001453267,3.4593922e-05,0.00043693607,1.3803259,5.22412,0.00024957844,-3.096749e-05,3.104809e-05,3.5140827e-05,-0.00042204154,0.0007026227,0.0002854171,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.4272808e-05,3.4592447e-06,4.816576e-06,5.3043324e-05,0.00016038824,0.00015808461,0.004165738,0.15177253,0.18591139,0.006337867,1.7365541e-11,1.7351539e-11,3.9546946e-11,1.4182771e-07,5.0529188e-08,5.000266e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
