timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
128404758,4.709912,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
128905919,4.5713377,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
129404758,4.705078,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
129904757,4.6776853,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
130404758,4.703467,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
130904757,4.714746,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
131405962,4.7324705,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
131904772,4.713135,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
132405530,4.6954103,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
132904837,4.713135,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
133404787,4.542334,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
133904890,4.724414,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
134404770,4.6873536,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
134905689,4.6937985,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
135404770,4.6921873,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
135905662,4.703467,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
136404760,4.7373047,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
136904756,4.6873536,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
137405194,4.518164,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
137904756,4.661572,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
138405506,4.7228026,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
138904780,4.701855,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
139404763,4.703467,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
139904785,4.630957,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
140404758,4.6631837,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
140905021,4.729248,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
141404756,4.7308593,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
141905299,4.7211914,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
142404770,4.6631837,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
142904758,4.6921873,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
143404769,4.679297,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
143904757,4.713135,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
144405432,4.7083006,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
144904758,4.666406,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
145405847,4.7308593,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
145904874,4.542334,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
146404757,4.7373047,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
146904764,4.7179685,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
147404756,4.655127,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
147906048,4.7179685,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
148404768,4.7356935,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
148906236,4.714746,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
149404771,4.703467,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
149904797,4.6680174,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
150405099,4.674463,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
150904757,4.700244,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
