timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
273956271,0.011302887,0.012340194,0.33946133,-1.429378e-13,0.9856017,0.0045278883,0.0070358994,0.1688766,0.0,0.0,-0.1533766,0,0,0,0,0
273963428,0.01114792,0.01189842,0.33946136,-1.429378e-13,0.98560315,0.0044888384,0.0068051107,0.16887861,0.0,0.0,-0.1531017,0,0,0,0,0
273975410,0.010873203,0.011856981,0.33946136,-1.15348e-13,0.9856038,0.004356957,0.006761492,0.16887969,0.0,0.0,-0.14702493,0,0,0,0,0
273987749,0.011087803,0.011874408,0.33946136,-1.15348e-13,0.98560333,0.00446124,0.006788201,0.16887888,0.0,0.0,-0.14574605,0,0,0,0,0
273995116,0.0098755825,0.011698177,0.33946136,-9.254586e-14,0.9856063,0.0038787413,0.006598994,0.16888347,0.0,0.0,-0.14528838,0,0,0,0,0
274007020,0.0093961945,0.011827364,0.33946133,-9.254586e-14,0.9856069,0.0036315855,0.0066221766,0.1688847,0.0,0.0,-0.14423992,0,0,0,0,0
274014987,0.009415854,0.011205731,0.33946136,-7.41338e-14,0.9856084,0.0036937813,0.0063174954,0.16888638,0.0,0.0,-0.14466774,0,0,0,0,0
274026779,0.008491346,0.011509427,0.33946133,-7.41338e-14,0.98560923,0.0032125278,0.0063890894,0.1688885,0.0,0.0,-0.14381294,0,0,0,0,0
274035005,0.010492133,0.011701578,0.33946133,-5.9296365e-14,0.98560506,0.004182292,0.0066527324,0.16888142,0.0,0.0,-0.14332074,0,0,0,0,0
274046509,0.009766215,0.011272699,0.33946136,-5.9296365e-14,0.98560756,0.0038607852,0.0063800844,0.16888508,0.0,0.0,-0.1432647,0,0,0,0,0
274054692,0.00931843,0.01159428,0.33946133,-4.7586514e-14,0.9856076,0.003612951,0.006500746,0.1688856,0.0,0.0,-0.14155987,0,0,0,0,0
