timestamp,timestamp_sample,device_id,error_count,pressure,temperature
19920034,19919108,6780449,0,990.77216,47.55
20006644,20005713,6780449,0,990.7539,47.55
20093277,20092315,6780449,0,990.7504,47.559998
20223144,20222221,6780449,0,990.78076,47.559998
20309731,20308806,6780449,0,990.7341,47.559998
20396329,20395406,6780449,0,990.75757,47.559998
20526233,20525309,6780449,0,990.7512,47.57
20612986,20612060,6780449,0,990.77625,47.57
20699428,20698505,6780449,0,990.73553,47.57
20829578,20828407,6780449,0,990.764,47.57
20915929,20915005,6780449,0,990.7341,47.57
21002531,21001609,6780449,0,990.75793,47.57
21132432,21131506,6780449,0,990.73175,47.57
21219030,21218107,6780449,0,990.749,47.579998
21305640,21304716,6780449,0,990.78,47.579998
21392230,21391305,6780449,0,990.7696,47.579998
21522139,21521215,6780449,0,990.7482,47.579998
21608747,21607810,6780449,0,990.75507,47.59
21695329,21694406,6780449,0,990.7523,47.59
21825249,21824323,6780449,0,990.7596,47.59
21911842,21910915,6780449,0,990.7364,47.59
21998435,21997507,6780449,0,990.7596,47.59
22128332,22127408,6780449,0,990.7076,47.59
22214936,22214008,6780449,0,990.7512,47.6
22301741,22300801,6780449,0,990.7576,47.61
22431431,22430506,6780449,0,990.7351,47.6
22518252,22517112,6780449,0,990.76215,47.61
22604633,22603706,6780449,0,990.7648,47.61
22691234,22690305,6780449,0,990.721,47.61
22821144,22820219,6780449,0,990.73334,47.61
22907730,22906806,6780449,0,990.7591,47.61
22994330,22993408,6780449,0,990.73975,47.62
23124251,23123327,6780449,0,990.7839,47.62
23210836,23209910,6780449,0,990.74756,47.62
23297433,23296509,6780449,0,990.7655,47.62
23427329,23426406,6780449,0,990.7337,47.62
23513931,23513009,6780449,0,990.7498,47.62
23600537,23599608,6780449,0,990.7543,47.629997
23730466,23729539,6780449,0,990.7685,47.629997
23817039,23816110,6780449,0,990.7532,47.629997
23903643,23902712,6780449,0,990.7528,47.629997
23990365,23989438,6780449,0,990.77075,47.64
24120141,24119217,6780449,0,990.77484,47.64
24206956,24205806,6780449,0,990.7514,47.64
24293337,24292411,6780449,0,990.733,47.64
24423239,24422312,6780449,0,990.7671,47.64
24509831,24508908,6780449,0,990.75574,47.649998
24596438,24595507,6780449,0,990.76105,47.649998
24726333,24725409,6780449,0,990.75543,47.649998
24812981,24812047,6780449,0,990.75995,47.649998
24899534,24898605,6780449,0,990.75507,47.649998
25029574,25028556,6780449,0,990.73865,47.66
25116029,25115106,6780449,0,990.76855,47.66
25202642,25201716,6780449,0,990.7514,47.66
25332538,25331609,6780449,0,990.7487,47.66
25419142,25418219,6780449,0,990.75055,47.66
25505731,25504807,6780449,0,990.76404,47.66
25592352,25591408,6780449,0,990.7655,47.67
25722236,25721308,6780449,0,990.7472,47.67
25808828,25807905,6780449,0,990.7722,47.67
25895720,25894506,6780449,0,990.75165,47.67
26025334,26024409,6780449,0,990.75433,47.67
26111933,26111011,6780449,0,990.7693,47.68
26198553,26197607,6780449,0,990.7532,47.68
26328429,26327506,6780449,0,990.75507,47.68
26415033,26414110,6780449,0,990.77075,47.68
26501768,26500838,6780449,0,990.7286,47.68
26631570,26630647,6780449,0,990.7536,47.69
26718315,26717216,6780449,0,990.7479,47.69
26804738,26803806,6780449,0,990.7514,47.69
26891329,26890406,6780449,0,990.7458,47.69
27021230,27020306,6780449,0,990.7375,47.69
27107836,27106907,6780449,0,990.758,47.7
27194429,27193506,6780449,0,990.7468,47.7
27324338,27323415,6780449,0,990.75055,47.69
27410931,27410008,6780449,0,990.74347,47.69
27497530,27496606,6780449,0,990.7364,47.7
27627452,27626527,6780449,0,990.7337,47.7
27714029,27713106,6780449,0,990.7468,47.7
27800638,27799710,6780449,0,990.75165,47.7
27930535,27929608,6780449,0,990.7585,47.71
28017136,28016205,6780449,0,990.73035,47.7
28103732,28102809,6780449,0,990.7218,47.71
28190572,28189646,6780449,0,990.7319,47.71
28320240,28319313,6780449,0,990.7266,47.71
28407015,28405906,6780449,0,990.711,47.71
28493429,28492506,6780449,0,990.7514,47.719997
28623340,28622412,6780449,0,990.74646,47.719997
28709934,28709011,6780449,0,990.71545,47.719997
28796538,28795607,6780449,0,990.7255,47.719997
28926460,28925532,6780449,0,990.73035,47.719997
29013038,29012113,6780449,0,990.7428,47.719997
29099635,29098706,6780449,0,990.7121,47.719997
29229700,29228606,6780449,0,990.7428,47.719997
29316147,29315219,6780449,0,990.718,47.73
29402754,29401810,6780449,0,990.74426,47.73
29532641,29531713,6780449,0,990.75433,47.73
29619234,29618310,6780449,0,990.73004,47.739998
29705829,29704906,6780449,0,990.74084,47.739998
29792442,29791518,6780449,0,990.7412,47.73
29922329,29921406,6780449,0,990.70984,47.73
30008934,30008007,6780449,0,990.7458,47.739998
30095745,30094606,6780449,0,990.75995,47.75
30225443,30224506,6780449,0,990.7271,47.739998
30312029,30311107,6780449,0,990.7603,47.739998
30398638,30397715,6780449,0,990.73114,47.75
30528531,30527608,6780449,0,990.7076,47.75
30615164,30614236,6780449,0,990.7286,47.75
30701919,30700993,6780449,0,990.73566,47.75
30831634,30830711,6780449,0,990.7282,47.75
30918401,30917307,6780449,0,990.72516,47.75
31004838,31003909,6780449,0,990.71765,47.75
31091449,31090512,6780449,0,990.72516,47.75
31221336,31220411,6780449,0,990.70496,47.75
31307931,31307006,6780449,0,990.72217,47.75
31394534,31393608,6780449,0,990.7214,47.76
31524438,31523514,6780449,0,990.7514,47.77
31611029,31610106,6780449,0,990.7532,47.77
31697631,31696707,6780449,0,990.736,47.76
31827537,31826614,6780449,0,990.73224,47.77
31914145,31913217,6780449,0,990.75507,47.77
32000734,31999810,6780449,0,990.74457,47.77
32130641,32129711,6780449,0,990.7282,47.78
32217237,32216306,6780449,0,990.74426,47.78
32303830,32302908,6780449,0,990.7596,47.78
32390483,32389556,6780449,0,990.7468,47.78
32520355,32519431,6780449,0,990.7273,47.78
