timestamp,speed_up,speed_down,want_takeoff
201814852,4.0,1.5,0
202815405,4.0,1.5,0
203816103,4.0,1.5,0
204817323,4.0,1.5,0
205813289,4.0,1.5,0
206813922,4.0,1.5,0
207814560,4.0,1.5,0
208815865,4.0,1.5,0
209815718,4.0,1.5,1
210816329,4.0,1.5,0
211816948,4.0,1.5,0
212813632,4.0,1.5,0
213814816,4.0,1.5,0
214814857,4.0,1.5,0
215815943,4.0,1.5,0
216815849,4.0,1.5,0
217816441,4.0,1.5,0
218816978,4.0,1.5,0
219813597,4.0,1.5,0
220814259,4.0,1.5,0
221814799,4.0,1.5,0
222815328,4.0,1.5,0
223816032,4.0,1.5,0
224817259,4.0,1.5,0
225816967,4.0,1.5,0
226813605,4.0,1.5,0
227814203,4.0,1.5,0
228814683,4.0,1.5,0
229815289,4.0,1.5,0
230815841,4.0,1.5,0
231816312,4.0,1.5,0
232816851,4.0,1.5,0
233813415,4.0,1.5,0
234813974,4.0,1.5,0
235814622,4.0,1.5,0
236815099,4.0,1.5,0
237815617,4.0,1.5,0
238816138,4.0,1.5,0
239816647,4.0,1.5,0
240817182,4.0,1.5,0
241813810,4.0,1.5,0
242814235,4.0,1.5,0
243814739,4.0,1.5,0
244815187,4.0,1.5,0
245816494,4.0,1.5,0
246816177,4.0,1.5,0
247816731,4.0,1.5,0
248817168,4.0,1.5,0
249813698,4.0,1.5,0
250814210,4.0,1.5,0
251814702,4.0,1.5,0
252815288,4.0,1.5,0
253815785,4.0,1.5,0
254816300,4.0,1.5,0
255816694,4.0,1.5,0
256817181,4.0,1.5,0
257813764,4.0,1.5,0
258814190,4.0,1.5,0
259814984,4.0,1.5,0
260815141,4.0,1.5,0
261815603,4.0,1.5,0
262816109,4.0,1.5,0
263816563,4.0,1.5,0
264816989,4.0,1.5,0
265813495,4.0,1.5,0
266814074,4.0,1.5,0
267814447,4.0,1.5,0
268814934,4.0,1.5,0
269815384,4.0,1.5,0
270815883,4.0,1.5,0
271816295,4.0,1.5,0
272816771,4.0,1.5,0
273817076,4.0,1.5,0
274813578,4.0,1.5,0
275814034,4.0,1.5,0
276814556,4.0,1.5,0
277814986,4.0,1.5,0
278815467,4.0,1.5,0
279815958,4.0,1.5,0
280816258,4.0,1.5,0
281816725,4.0,1.5,0
282813167,4.0,1.5,0
283813613,4.0,1.5,0
284814033,4.0,1.5,0
285814523,4.0,1.5,0
286814893,4.0,1.5,0
287815338,4.0,1.5,0
288815752,4.0,1.5,0
289816212,4.0,1.5,0
290816720,4.0,1.5,0
291817038,4.0,1.5,0
292813452,4.0,1.5,0
293813967,4.0,1.5,0
294814285,4.0,1.5,0
295814659,4.0,1.5,0
296815174,4.0,1.5,0
297815635,4.0,1.5,0
298816181,4.0,1.5,0
299816361,4.0,1.5,0
300816834,4.0,1.5,0
301817204,4.0,1.5,0
302813684,4.0,1.5,0
303814157,4.0,1.5,0
304814369,4.0,1.5,0
305814962,4.0,1.5,0
306815292,4.0,1.5,0
307815587,4.0,1.5,0
308816015,4.0,1.5,0
