timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
270230272,2490386,2490386,3670026,0,0,0.049684737,0.049684856,0.0,0.0,2490386,2490386,3670026,0,0,0.0016463151,0.0016463153,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
270427865,2490386,2490386,3670026,0,0,0.05925388,0.059253868,0.0,0.0,2490386,2490386,3670026,0,0,0.0047585065,0.004758509,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
270629551,2490386,2490386,3670026,0,0,0.05207467,0.05207466,0.0,0.0,2490386,2490386,3670026,0,0,0.001302393,0.001302393,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
270831247,2490386,2490386,3670026,0,0,0.07158002,0.07158012,0.0,0.0,2490386,2490386,3670026,0,0,0.0018629892,0.0018629902,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
271033026,2490386,2490386,3670026,0,0,0.042443313,0.042443316,0.0,0.0,2490386,2490386,3670026,0,0,0.0015781698,0.0015781712,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
271230693,2490386,2490386,3670026,0,0,0.07543251,0.07543264,0.0,0.0,2490386,2490386,3670026,0,0,0.009631272,0.009631273,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
271428347,2490386,2490386,3670026,0,0,0.03308495,0.033084944,0.0,0.0,2490386,2490386,3670026,0,0,0.00395702,0.00395702,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
271629981,2490386,2490386,3670026,0,0,0.064536765,0.064536765,0.0,0.0,2490386,2490386,3670026,0,0,0.0026196954,0.0026196945,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
271827700,2490386,2490386,3670026,0,0,0.08936997,0.08937009,0.0,0.0,2490386,2490386,3670026,0,0,0.0043953783,0.004395382,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
272029487,2490386,2490386,3670026,0,0,0.04933962,0.049339663,0.0,0.0,2490386,2490386,3670026,0,0,0.0035698372,0.0035698367,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
272231042,2490386,2490386,3670026,0,0,0.093332656,0.09333263,0.0,0.0,2490386,2490386,3670026,0,0,0.008507009,0.008507008,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
272432842,2490386,2490386,3670026,0,0,0.045653872,0.045653906,0.0,0.0,2490386,2490386,3670026,0,0,0.001720548,0.0017205486,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
272630450,2490386,2490386,3670026,0,0,0.0532825,0.05328237,0.0,0.0,2490386,2490386,3670026,0,0,0.01505715,0.0150571475,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
272828174,2490386,2490386,3670026,0,0,0.051528625,0.051528625,0.0,0.0,2490386,2490386,3670026,0,0,0.005078677,0.0050786785,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
273029933,2490386,2490386,3670026,0,0,0.137031,0.1370309,0.0,0.0,2490386,2490386,3670026,0,0,0.011933401,0.011933401,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
