timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
120133989,120132054,0,nan,nan,1.4306974,5.225023,0.012612666,-0.012571249,-0.01879086,0.0,-0.0002746305,-3.435424e-05,0.0069969273,0.008964048,0.015083633,-0.045821503,0.0,0.00773551,-0.0008403031,0.013222631,1.0418775,-0.01387076,nan,0.1,0.5789104,0.06956311,0.018496338,0.05977005,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
120236772,120234879,0,nan,nan,1.4304705,5.225033,0.012908045,-0.012571249,-0.01879086,0.0,-0.00021328444,-9.434878e-05,0.0072420114,0.008672035,0.015083633,-0.045821503,0.0,0.0045418823,-0.012851796,0.0032395106,1.0409641,-0.01387076,nan,0.1,0.57890147,0.074185155,0.018613381,0.062044207,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
120334988,120333751,0,nan,nan,1.4300195,5.2250967,0.013268137,-0.012571249,-0.01879086,0.0,-0.0002022004,-6.678569e-05,0.007372498,0.0083924765,0.015083633,-0.045821503,0.0,0.003001964,-0.005636605,-0.0055956817,1.0404867,-0.01387076,nan,0.1,0.5788931,0.07910285,0.019124033,0.06431543,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
120426512,120424732,0,nan,nan,1.429317,5.225226,0.013549922,-0.012571249,-0.01879086,0.0,-0.00023098127,-3.2558364e-05,0.007479955,0.008083062,0.015083633,-0.045821503,0.0,0.0046549602,-0.003737575,-0.008379997,1.0402759,-0.01387076,nan,0.1,0.5788827,0.06441916,0.018684302,0.05703664,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
120536495,120535451,0,nan,nan,1.4284601,5.225383,0.013518679,-0.012571249,-0.01879086,0.0,-0.00011591896,4.6637288e-05,0.007377544,0.007174631,0.015083633,-0.045821503,0.0,0.011193424,-0.0016938099,0.0038150323,1.0393356,-0.01387076,nan,0.1,0.57887435,0.06911751,0.019682737,0.059542526,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
120623511,120622459,0,nan,nan,1.4279373,5.225478,0.01361063,-0.012571249,-0.01879086,0.0,-0.0002546969,-3.461072e-05,0.007228088,0.00659266,0.015083633,-0.045821503,0.0,-3.3240103e-05,-9.711579e-05,-0.0067768483,1.0386008,-0.01387076,nan,0.1,0.57886714,0.07323683,0.019108735,0.061589684,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
120734410,120733197,0,nan,nan,1.4276317,5.2254987,0.013886336,-0.012571249,-0.01879086,0.0,-7.26938e-05,-0.00016784824,0.0071741543,0.006205305,0.015083633,-0.045821503,0.0,0.009532973,-0.011768778,0.0012718504,1.037188,-0.01387076,nan,0.1,0.5788593,0.07859803,0.020346986,0.06408854,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
120825435,120824168,0,nan,nan,1.4274485,5.2254906,0.01413144,-0.012571249,-0.01879086,0.0,-8.444376e-05,-0.00022316631,0.0073543116,0.006143932,0.015083633,-0.045821503,0.0,0.009476328,-0.0061997273,-0.0012763888,1.0363741,-0.01387076,nan,0.1,0.5788497,0.06401078,0.019772407,0.05680872,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
120924336,120923033,0,nan,nan,1.4273317,5.2254524,0.013888065,-0.012571249,-0.01879086,0.0,-0.0001243216,-0.00022422927,0.0071941814,0.005246103,0.015083633,-0.045821503,0.0,-0.002624406,-0.0074089193,-0.0042911237,1.035328,-0.01387076,nan,0.1,0.5788415,0.06823546,0.020009642,0.059087306,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121034969,121033774,0,nan,nan,1.4269617,5.22547,0.013871378,-0.012571249,-0.01879086,0.0,1.4497222e-05,-0.00018726042,0.006870936,0.0044704117,0.015083633,-0.045821503,0.0,0.0075531984,-0.008143318,0.003213351,1.0347369,-0.01387076,nan,0.1,0.5788331,0.073236845,0.018917363,0.061589707,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121133835,121132643,0,nan,nan,1.4267607,5.2254715,0.014004446,-0.012571249,-0.01879086,0.0,-2.4020082e-05,-0.00011078721,0.0067691235,0.0041802023,0.015083633,-0.045821503,0.0,0.00089885783,-0.010267754,0.005393689,1.0335305,-0.01387076,nan,0.1,0.578826,0.07809609,0.019078683,0.0638615,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121236588,121235471,0,nan,nan,1.426623,5.2254577,0.014193922,-0.012571249,-0.01879086,0.0,-5.506118e-05,-0.00027785497,0.0067562885,0.0040306454,0.015083633,-0.045821503,0.0,0.003357904,0.0012286323,0.021431746,1.0325488,-0.01387076,nan,0.1,0.5788168,0.0640108,0.01911648,0.056808684,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121324256,121322479,0,nan,nan,1.4266956,5.2253804,0.013824223,-0.012571249,-0.01879086,0.0,-8.321082e-05,-0.00025674253,0.006357978,0.0030257124,0.015083633,-0.045821503,0.0,0.0051149246,-0.013628817,-0.0023865635,1.0312998,-0.01387076,nan,0.1,0.57880974,0.06779904,0.018519886,0.058859535,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121434453,121433218,0,nan,nan,1.4269911,5.225229,0.013629691,-0.012571249,-0.01879086,0.0,0.00020814515,-0.00045247632,0.005693639,0.0019935588,0.015083633,-0.045821503,0.0,0.013626197,-0.008628175,0.001666903,1.0298676,-0.01387076,nan,0.1,0.5788026,0.07276716,0.019474808,0.061362434,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121533391,121532089,0,nan,nan,1.4274809,5.2250257,0.013608185,-0.012571249,-0.01879086,0.0,0.00028101384,-0.0005828494,0.0055046435,0.0017110675,0.015083633,-0.045821503,0.0,0.010402331,-0.006550501,0.015753994,1.0283402,-0.01387076,nan,0.1,0.5787964,0.077597044,0.019742835,0.06363451,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121624372,121623053,0,nan,nan,1.4279269,5.2248435,0.01372114,-0.012571249,-0.01879086,0.0,0.0001368864,-0.0005921941,0.0053601027,0.001612551,0.015083633,-0.045821503,0.0,-0.0035113841,-0.003916796,0.004120924,1.0273265,-0.01387076,nan,0.1,0.5787906,0.082192115,0.019340754,0.06567699,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121734978,121733790,0,nan,nan,1.42838,5.224633,0.013205403,-0.012571249,-0.01879086,0.0,6.525138e-05,-0.00051613146,0.0047200066,0.00042068635,0.015083633,-0.045821503,0.0,0.0038931952,-0.001751271,0.0054596234,1.0259099,-0.01387076,nan,0.1,0.57878095,0.067799054,0.018670464,0.05885958,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121833909,121832663,0,nan,nan,1.428835,5.2244444,0.012880897,-0.012571249,-0.01879086,0.0,8.2023806e-05,-0.0005548493,0.004287463,-0.00023808348,0.015083633,-0.045821503,0.0,0.004935846,0.0033154786,0.01223108,1.0247254,-0.01387076,nan,0.1,0.57877374,0.07230045,0.019237759,0.061135095,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
121936807,121935490,0,nan,nan,1.4291693,5.224283,0.012750615,-0.012571249,-0.01879086,0.0,-8.05146e-05,-0.00049946975,0.004010452,-0.0005178098,0.015083633,-0.045821503,0.0,-0.0036415977,-0.005735963,-0.010295717,1.0236788,-0.01387076,nan,0.1,0.5787671,0.07710091,0.019715955,0.06340748,0.25,inf,0.3,30.0,1,1,1,1,4,0,4,0,2,0,0,0,1,0
