timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
64495820,inf,0,1,1,1,0,0,1,0,0,1
65496462,inf,0,1,1,1,0,0,1,0,0,1
66496978,inf,0,1,1,1,0,0,1,0,0,1
67505496,inf,0,1,1,1,0,0,1,0,0,1
68506106,inf,0,1,1,1,0,0,1,0,0,1
69506734,inf,0,1,1,1,0,0,1,0,0,1
70515801,inf,0,1,1,1,0,0,1,0,0,1
71523576,inf,0,1,1,1,0,0,1,0,0,1
72524224,inf,0,1,1,1,0,0,1,0,0,1
73524940,inf,0,1,1,1,0,0,1,0,0,1
74526129,inf,0,1,1,1,0,0,1,0,0,1
75534105,inf,0,1,1,1,0,0,1,0,0,1
76534746,inf,0,1,1,1,0,0,1,0,0,1
77535298,inf,0,1,1,1,0,0,1,0,0,1
78535863,inf,0,1,1,1,0,0,1,0,0,1
79536943,inf,0,1,1,1,0,0,1,0,0,1
80544663,inf,0,1,1,1,0,0,1,0,0,1
81545921,inf,0,1,1,1,0,0,1,0,0,1
82546457,inf,0,1,1,1,0,0,1,0,0,1
83555168,inf,0,1,1,1,0,0,1,0,0,1
84555172,inf,0,1,1,1,0,0,1,0,0,1
85556381,inf,0,1,1,1,0,0,1,0,0,1
86557003,inf,0,1,1,1,0,0,1,0,0,1
87564730,inf,0,1,1,1,0,0,1,0,0,1
88565558,inf,0,1,1,1,0,0,1,0,0,1
89565896,inf,0,1,1,1,0,0,1,0,0,1
90566601,inf,0,1,1,1,0,0,1,0,0,1
91567181,inf,0,1,1,1,0,0,1,0,0,1
92575597,inf,0,1,1,1,0,0,1,0,0,1
93576218,inf,0,1,1,1,0,0,1,0,0,1
94576817,inf,0,1,1,1,0,0,1,0,0,1
95585253,inf,0,1,1,1,0,0,1,1,0,1
96585733,inf,0,1,1,1,0,0,1,0,0,1
97586906,inf,0,1,1,1,0,0,1,0,0,1
98587630,inf,0,1,1,1,0,0,1,0,0,1
99596192,inf,0,1,1,1,0,0,1,0,0,1
100596684,inf,0,1,1,1,0,0,1,0,0,1
101605275,inf,0,1,1,1,0,0,1,0,0,1
102605800,inf,0,1,1,1,0,0,1,0,0,1
103605870,inf,0,1,1,1,0,0,1,0,0,1
104606398,inf,0,1,1,1,0,0,1,0,0,1
105607039,inf,0,1,1,1,0,0,1,0,0,1
106616128,inf,0,1,1,1,0,0,1,0,0,1
107616621,inf,0,1,1,1,0,0,1,0,0,1
108624485,inf,0,1,1,1,0,0,1,0,0,1
109625128,inf,0,1,1,1,0,0,1,0,0,1
110625784,inf,0,1,1,1,0,0,1,0,0,1
111626336,inf,0,1,1,1,0,0,1,0,0,1
112627586,inf,0,1,1,1,0,0,1,0,0,1
113636346,inf,0,1,1,1,0,0,1,0,0,1
114643802,inf,0,1,1,1,0,0,1,0,0,1
115644386,inf,0,1,1,1,0,0,1,0,0,1
116645088,inf,0,1,1,1,0,0,1,0,0,1
117646186,inf,0,1,1,1,0,0,1,0,0,1
118654847,inf,0,1,1,1,0,0,1,0,0,1
119655475,inf,0,1,1,1,0,0,1,0,0,1
120655552,inf,0,1,1,1,0,0,1,0,0,1
121656029,inf,0,1,1,1,0,0,1,0,0,1
122656628,inf,0,1,1,1,0,0,1,0,0,1
123657874,inf,0,1,1,1,0,0,1,0,0,1
124666511,inf,0,1,1,1,0,0,1,0,0,1
125674101,inf,0,1,1,1,0,0,1,0,0,1
126675334,inf,0,1,1,1,0,0,1,0,0,1
127675367,inf,0,1,1,1,0,0,1,0,0,1
128676575,inf,0,1,1,1,0,0,1,0,0,1
129685040,inf,0,1,1,1,0,0,1,0,0,1
130685556,inf,0,1,1,1,0,0,1,0,0,1
131694093,inf,0,1,1,1,0,0,1,0,0,1
132694742,inf,0,1,1,1,0,0,1,0,0,1
133694875,inf,0,1,1,1,0,0,1,0,0,1
134695303,inf,0,1,1,1,0,0,1,0,0,1
135696475,inf,0,1,1,1,0,0,1,0,0,1
136696503,inf,0,1,1,1,0,0,1,0,0,1
137697870,inf,0,1,1,1,0,0,1,0,0,1
138706312,inf,0,1,1,1,0,0,1,0,0,1
139714125,inf,0,1,1,1,0,0,1,0,0,1
140714695,inf,0,1,1,1,0,0,1,0,0,1
141715377,inf,0,1,1,1,0,0,1,0,0,1
142715897,inf,0,1,1,1,0,0,1,0,0,1
143717118,inf,0,1,1,1,0,0,1,0,0,1
144725068,inf,0,1,1,1,0,0,1,0,0,1
145725610,inf,0,1,1,1,0,0,1,0,0,1
146726304,inf,0,1,1,1,0,0,1,0,0,1
147726768,inf,0,1,1,1,0,0,1,0,0,1
148736111,inf,0,1,1,1,0,0,1,0,0,1
149743914,inf,0,1,1,1,0,0,1,0,0,1
150744966,inf,0,1,1,1,0,0,1,0,0,1
151745064,inf,0,1,1,1,0,0,1,0,0,1
152746151,inf,0,1,1,1,0,0,1,0,0,1
153754240,inf,0,1,1,1,0,0,1,0,0,1
154754849,inf,0,1,1,1,0,0,1,0,0,1
155755479,inf,0,1,1,1,0,0,1,0,0,1
156756657,inf,0,1,1,1,0,0,1,0,0,1
157757414,inf,0,1,1,1,0,0,1,0,0,1
158765072,inf,0,1,1,1,0,0,1,0,0,1
159766275,inf,0,1,1,1,0,0,1,0,0,1
160774268,inf,0,1,1,1,0,0,1,0,0,1
161774799,inf,0,1,1,1,0,0,1,0,0,1
162775420,inf,0,1,1,1,0,0,1,0,0,1
163775969,inf,0,1,1,1,0,0,1,0,0,1
164776659,inf,0,1,1,1,0,0,1,0,0,1
165777191,inf,0,1,1,1,0,0,1,0,0,1
166786262,inf,0,1,1,1,0,0,1,0,0,1
167786825,inf,0,1,1,1,0,0,1,0,0,1
168787617,inf,0,1,1,1,0,0,1,0,0,1
169796138,inf,0,1,1,1,0,0,1,0,0,1
