timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
13378644,13377937,0.07226602,-0.083031766,-9.811232
13430024,13429350,0.19927736,0.05456689,-9.809537
13481432,13480763,0.13610935,-0.077412724,-9.792523
13528900,13528224,0.099848434,-0.08503581,-9.829204
13580315,13579633,0.13308768,0.03582553,-9.7984915
13631715,13631046,0.21821623,-0.06527783,-9.775791
13679179,13678504,0.114865884,-0.0755794,-9.757317
13726658,13725963,0.11210316,0.013802466,-9.801897
13782048,13781329,0.14568242,-0.02344942,-9.840799
13829455,13828787,0.09003873,-0.112354055,-9.836883
13880891,13880200,0.20726466,0.034880042,-9.768983
13932294,13931613,0.15527283,-0.046578713,-9.743822
13979795,13979071,0.07521194,-0.08400449,-9.804501
14031298,14030483,0.15905596,0.01843273,-9.817298
14078667,14077941,0.10427175,-0.046211634,-9.781191
14130029,14129354,0.21274336,-0.0912026,-9.7820015
14181575,14180767,0.13070758,0.052809868,-9.782142
14228898,14228225,0.07638992,-0.08383222,-9.754976
14280323,14279637,0.194806,-0.07340859,-9.770075
14331724,14331050,0.1394479,0.059076756,-9.823132
14379244,14378508,0.14778395,-0.13448234,-9.789201
14426655,14425966,0.104910605,-0.024121044,-9.790192
14482012,14481333,0.14740361,0.001233799,-9.745874
14529472,14528792,0.22291331,-0.10575236,-9.81205
14580899,14580204,0.14713904,-0.0032913785,-9.760245
14632344,14631617,0.09560877,-0.04337907,-9.773834
14679775,14679075,0.11924938,-0.08270381,-9.727783
14731162,14730488,0.25122523,-0.0034946606,-9.75211
14778651,14777946,0.10923654,-0.02369995,-9.786401
14830051,14829358,0.09255785,-0.07299442,-9.817767
14881448,14880771,0.155509,-0.018416168,-9.828249
14928904,14928229,0.13206631,-0.0011552378,-9.761095
14980330,14979642,0.14391571,-0.088167444,-9.781784
15031800,15031055,0.11510209,0.0019978466,-9.823519
15079272,15078513,0.18918931,-0.022698,-9.748735
15126772,15125975,0.15248324,-0.08947968,-9.744969
15182014,15181338,0.12430641,-0.0027986306,-9.739162
15229545,15228796,0.15612134,-0.044303183,-9.794285
15280898,15280209,0.13313553,-0.07560538,-9.814932
15332302,15331621,0.15643924,0.011503467,-9.739134
15379748,15379079,0.1901516,-0.06387169,-9.736399
15431172,15430492,0.033715792,-0.06329507,-9.756818
15478674,15477952,0.17997654,0.005914216,-9.780594
15530031,15529363,0.265269,-0.08324504,-9.768636
15581521,15580776,0.075569734,0.0028623391,-9.831767
15628908,15628234,0.13832451,0.028232679,-9.753581
15680343,15679646,0.014765971,-0.15343218,-9.72746
15731741,15731059,0.17918491,0.010677138,-9.732902
15779195,15778517,0.41085893,-0.13883659,-9.8814335
15826660,15825975,0.068138175,0.11166323,-9.749786
15882099,15881343,0.049538463,-0.20903361,-9.747643
15929474,15928801,0.22442065,0.092423566,-9.748654
15980907,15980213,0.18303119,-0.12200905,-9.771194
16032403,16031626,0.11597909,-0.0023265728,-9.820335
16079759,16079084,0.08305051,-0.12205059,-9.828229
16131173,16130497,0.3558821,0.04065205,-9.850239
16178676,16177955,0.14065889,-0.014452905,-9.643661
16230091,16229368,-0.02552836,-0.16914847,-9.845548
16281532,16280781,0.020758817,0.10712335,-9.809929
16328919,16328239,0.22887518,-0.06726048,-9.862566
16380328,16379651,0.3138492,-0.11607584,-9.829671
16431787,16431064,0.04466397,0.037110116,-9.727101
16479194,16478522,0.111703195,-0.018436236,-9.783572
16526687,16525980,0.06943688,-0.13166505,-9.779434
16582017,16581348,0.13130987,0.06418209,-9.815295
16629522,16628806,0.2661737,-0.031604014,-9.779235
16680917,16680219,0.06002394,-0.08829337,-9.776926
16732316,16731632,0.1803076,-0.014310143,-9.813275
16779767,16779090,0.10848297,0.040874362,-9.825973
16831176,16830502,0.1121136,-0.11724016,-9.795117
16878672,16877960,0.20854299,-0.0007758445,-9.7657
16930048,16929373,0.07999692,0.005251505,-9.763435
16981466,16980786,0.16229425,-0.12461308,-9.783206
17028920,17028244,0.17977731,0.055418447,-9.834506
17080359,17079657,0.0787863,-0.06523256,-9.809651
17131752,17131070,0.14893314,-0.08527704,-9.767445
17179285,17178528,0.1406834,0.057344384,-9.767385
17226695,17225986,0.13638082,-0.0693475,-9.803526
17282087,17281353,0.15712403,-0.04793627,-9.795674
17329567,17328812,0.091658644,0.026262194,-9.811779
17380911,17380233,0.13681263,-0.08781522,-9.817452
17432326,17431637,0.14417501,-0.0053986935,-9.791781
17479827,17479095,0.15142977,0.010163338,-9.781051
17531194,17530508,0.080337815,-0.10122723,-9.755494
17578684,17577966,0.1413968,-0.003417873,-9.775108
17630049,17629379,0.15999326,-0.0061289053,-9.822453
17681508,17680792,0.19624154,-0.07474152,-9.809353
17728925,17728250,0.06771002,-0.02235157,-9.783788
17780355,17779663,0.09916468,-0.0036904106,-9.779375
17831749,17831076,0.19073458,-0.061791368,-9.791102
17879207,17878534,0.13424619,-0.01433789,-9.789405
17926747,17925992,0.15316659,-0.04624566,-9.790005
17982039,17981359,0.10206217,-0.01519246,-9.800161
18029555,18028817,0.09961933,-0.01684564,-9.771977
18080908,18080230,0.14924969,-0.0788031,-9.784696
18132426,18131643,0.15333839,0.022207001,-9.777217
18179772,18179101,0.17559297,-0.029589625,-9.800796
18231199,18230514,0.06519823,-0.092397384,-9.804494
18278681,18277972,0.114777416,0.03041345,-9.815198
