timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
30218378,30217665,2490386,2490386,-1.058623e-05,5.366348e-06,2.1304182e-05,0.00052564126,-0.00027551237,-0.038746417,3950,3950,0,1,1
30716678,30715978,2490386,2490386,-9.490219e-06,1.7821327e-05,1.6937758e-05,0.0006541809,-8.22779e-05,-0.038760316,3955,3955,0,1,1
31218955,31218245,2490386,2490386,-1.14824525e-05,1.630771e-05,7.398158e-06,0.0005625298,-0.00021169335,-0.03861583,3955,3955,0,1,1
31717271,31716558,2490386,2490386,-7.960055e-06,6.7758388e-06,1.0177183e-05,0.0004337652,-0.00017401806,-0.03854912,3954,3954,0,1,1
32219527,32218826,2490386,2490386,-5.679625e-06,1.7405464e-05,9.331732e-06,0.0004769166,-0.0002469936,-0.038734738,3955,3955,0,1,1
32717859,32717138,2490386,2490386,-1.3243118e-05,9.972236e-06,-1.8241933e-07,0.00077168026,-0.00032328008,-0.038882464,3954,3954,0,1,1
33216170,33215452,2490386,2490386,-1.3574234e-05,3.6913325e-06,1.7645083e-05,0.0008942912,-9.339608e-05,-0.03863067,3955,3955,0,1,1
33718442,33717719,2490386,2490386,-9.9806675e-06,1.9360914e-05,1.965857e-05,0.00046254756,-0.00011337042,-0.03894869,3954,3954,0,1,1
34216746,34216033,2490386,2490386,-7.975465e-06,7.895887e-06,1.3087241e-05,0.00052817754,-0.00012899995,-0.038689688,3955,3955,0,1,1
34719001,34718301,2490386,2490386,-1.079719e-05,1.4480943e-05,1.3226881e-05,0.0005521849,-0.00014345054,-0.03875616,3955,3955,0,1,1
35217375,35216615,2490386,2490386,-9.22712e-06,1.2336875e-05,1.9436833e-05,0.0003851041,-6.553288e-05,-0.03870303,3955,3955,0,1,1
35719586,35718883,2490386,2490386,-9.180819e-06,1.0437644e-05,7.022098e-06,0.0005603616,-0.00013306523,-0.03867086,3955,3955,0,1,1
36217940,36217196,2490386,2490386,-1.3604681e-05,1.2311372e-05,1.1797354e-05,0.0005372822,-0.00016961258,-0.038671114,3955,3955,0,1,1
36716251,36715510,2490386,2490386,-7.889405e-06,1.5318283e-05,1.3472523e-05,0.00048599407,-8.670889e-05,-0.038637888,3955,3955,0,1,1
37218552,37217779,2490386,2490386,-1.4299432e-05,1.4288623e-05,1.0301622e-05,0.000700392,-0.00019546787,-0.03840982,3955,3955,0,1,1
37716836,37716093,2490386,2490386,-6.916942e-06,6.032447e-06,7.0582164e-06,0.00041827967,-0.00015823236,-0.038971577,3955,3955,0,1,1
38219062,38218362,2490386,2490386,-4.5642923e-06,1.6495313e-05,1.0066854e-05,0.00041073957,-0.00010575924,-0.038554348,3955,3955,0,1,1
38717384,38716676,2490386,2490386,-1.0211746e-05,1.8310031e-05,1.7379802e-05,0.000508703,-0.00016530303,-0.0389857,3955,3955,0,1,1
39219702,39218945,2490386,2490386,-7.6205147e-06,2.2566079e-05,8.781422e-06,0.0006736517,-0.00014337874,-0.038185485,3955,3955,0,1,1
39717966,39717259,2490386,2490386,-5.7813186e-06,1.6515352e-05,-5.213749e-06,0.0008551608,-0.0003556886,-0.038447645,3955,3955,0,1,1
40216306,40215573,2490386,2490386,-1.430598e-06,5.5492077e-05,8.950988e-06,0.00061423203,0.00044812783,-0.03845663,3955,3955,0,1,1
40718569,40717843,2490386,2490386,-1.4386862e-05,6.5456634e-06,2.5179133e-05,0.0005488262,-0.00025189272,-0.038557418,3955,3955,0,1,1
