timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
168506803,168504888,1.583979e-08,3.6664808e-06,7.920116e-05,5.969147e-05,0.0010944618,0.0005019572,67109915,0,0.57988507,0.07183675,0.008036336,0.021546803,nan,0.0025024824,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
168704217,168702636,1.5708714e-08,3.6542083e-06,7.760334e-05,0.00036537487,0.00045445297,0.00070761784,67109915,0,0.5798955,0.08167022,0.1434454,0.010553611,nan,0.0025024824,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
168906220,168904340,1.576076e-08,3.7133277e-06,7.832072e-05,0.00022748219,0.00055420224,0.00067936,67109915,0,0.57990015,0.07137602,0.10770888,0.0018294407,nan,0.0008674853,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
169096063,169094178,1.5974765e-08,3.7122459e-06,7.583143e-05,4.0951425e-05,0.0005027589,0.0007680402,67109915,0,0.5799082,0.08063475,0.08171562,0.003118658,nan,0.0008674853,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
169305219,169303790,1.5787213e-08,3.708089e-06,7.629756e-05,0.00036343097,0.00048842985,0.0008620643,67109915,0,0.579915,0.07091827,0.1326316,0.0024919,nan,0.0006903675,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
169494907,169493629,1.5618177e-08,3.6709273e-06,7.6971046e-05,1.4226385e-05,0.0004723678,0.0007753752,67109915,0,0.57992274,0.08012127,0.018504558,0.002693643,nan,0.0006903675,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
169705181,169703241,1.5962922e-08,3.7108034e-06,7.7756034e-05,0.00034533165,0.00055476406,0.0009547384,67109915,0,0.57992965,0.07046353,0.09261192,0.0021274064,nan,0.0016970687,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
169906250,169904945,1.5993365e-08,3.7346324e-06,7.957891e-05,0.0003427072,0.0017625364,0.0008392899,67109915,0,0.57993823,0.080121264,0.13626719,0.09452723,nan,0.0016970687,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
170104020,170102692,1.6296251e-08,3.8452667e-06,7.982611e-05,0.00031333935,0.0006135,0.0010000092,67109915,0,0.5799429,0.07001184,0.1515669,0.005908379,nan,0.002569464,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
170306301,170304396,1.6515092e-08,3.866533e-06,7.965231e-05,0.00035249942,0.00087370165,0.00068158726,67109915,0,0.5799503,0.07961068,0.14915532,0.015088214,nan,0.002569464,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
170504037,170502144,1.5792905e-08,3.7520977e-06,7.824455e-05,1.8902892e-05,0.00070156105,0.0010004591,67109915,0,0.5799562,0.06956319,0.03540658,0.0030885336,nan,0.003123408,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
170705762,170703847,1.5730432e-08,3.730387e-06,7.6283606e-05,8.292246e-05,0.00038356142,0.00064452254,67109915,0,0.57996505,0.07910296,0.02536413,0.0109236175,nan,0.003123408,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
170895578,170893685,1.5248311e-08,3.6664876e-06,7.658906e-05,4.3709457e-05,0.0007502483,0.0009009826,67109915,0,0.57997024,0.06867501,0.059522137,0.0014152481,nan,0.0029986117,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
171104605,171103298,1.5488808e-08,3.673574e-06,7.566846e-05,0.00024048853,0.0004464735,0.00045864462,67109915,0,0.57998,0.07859813,0.08152157,0.0036048044,nan,0.0029986117,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
171306293,171305001,1.5087398e-08,3.6591077e-06,7.4621385e-05,0.00059087423,0.00035169756,0.0006691563,67109915,0,0.579986,0.06867503,0.2542122,0.0030880766,nan,0.0024082987,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
171504637,171502749,1.498561e-08,3.6271963e-06,7.641707e-05,0.00026557443,0.00023859993,0.00029516366,67109915,0,0.57999295,0.0780962,0.09359249,0.004765787,nan,0.0024082987,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
171705754,171704452,1.4994027e-08,3.6867216e-06,7.637969e-05,0.00035767673,0.0003543941,0.00039651262,67109915,0,0.5799991,0.06823555,0.1469566,0.0032656016,nan,0.0016322155,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
171904301,171902201,1.4990034e-08,3.6336126e-06,7.5556316e-05,5.2285126e-05,0.00027658237,0.00018780374,67109915,0,0.5800062,0.07759716,0.016655862,0.0062136543,nan,0.0016322155,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
172105204,172103904,1.496582e-08,3.5255607e-06,7.6843586e-05,0.00017055347,0.00022738671,0.00015050732,67109915,0,0.58001214,0.06779913,0.060197733,0.0020526834,nan,0.00083496154,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
172295026,172293742,1.48312935e-08,3.4875357e-06,7.470271e-05,2.5685582e-05,0.00018966678,4.450974e-05,67109915,0,0.5800199,0.07660772,0.027835084,0.0020454386,nan,0.00083496154,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
172504757,172503355,1.5073326e-08,3.5101548e-06,7.2706556e-05,0.00035958536,0.00030089222,0.00024809618,67109915,0,0.5800268,0.067365766,0.12515463,0.00013637156,nan,9.6838645e-05,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
172706942,172705058,1.5090823e-08,3.57184e-06,6.97595e-05,0.00047343783,0.00021531423,0.00035533844,67109915,0,0.5800341,0.07660773,0.20027867,0.0010226243,nan,9.6838645e-05,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
172904115,172902806,1.4602701e-08,3.4730576e-06,6.7620706e-05,0.0005824712,0.00035806006,0.00038126516,67109915,0,0.58004,0.06693551,0.24901214,0.0012347583,nan,0.0001399251,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
173105849,173104510,1.4220285e-08,3.4387429e-06,6.62135e-05,0.00028182726,0.00031772238,0.00025135462,67109915,0,0.5800483,0.07611738,0.12694003,0.0020227465,nan,0.0001399251,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
173303572,173302258,1.40282586e-08,3.4116038e-06,6.7217195e-05,0.00013382592,0.00039676199,0.00021270743,67109915,0,0.58005434,0.066508345,0.039307695,0.0023249227,nan,0.00016274431,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
173506033,173503969,1.4470993e-08,3.39616e-06,6.71568e-05,0.00056731346,0.0002594538,0.00017577718,67109915,0,0.58006144,0.07562997,0.24484919,0.0024509307,nan,0.00016274431,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
173703826,173701714,1.4571362e-08,3.4434481e-06,6.766743e-05,0.00026449515,0.00043967698,0.00022496696,67109915,0,0.58006686,0.06608428,0.09703516,0.0021798583,nan,0.00036144545,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
173904730,173903413,1.502958e-08,3.5871387e-06,6.838363e-05,0.0001416842,0.00020876911,0.00024062779,67109915,0,0.58007544,0.07514549,0.05030889,0.001627004,nan,0.00036144545,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
