timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
209540796,97615566,0,207017240,0,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
210046065,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
210555797,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
211061364,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
211572193,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
211922339,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,128,4,0
212327805,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
212827913,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
213328008,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
213829923,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
214336660,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
214839792,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
215341971,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
215848799,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
216350821,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
216851317,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
217361868,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
217872796,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
218372838,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
218873833,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
219385038,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
219885566,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
220394087,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
220907568,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
221416903,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
221918824,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
222428928,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
222931390,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
223440799,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
223940812,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
224441202,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
224950938,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
225457908,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
225961884,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
226471794,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
226973898,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
227474947,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
227985061,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
228494939,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
229005837,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
229507212,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
230017772,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
230517795,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
231025939,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
231529824,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
232038798,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
232538854,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
233038859,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
233541842,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
234043363,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
234550826,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
235051397,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
